Exemplar_Size,Task 1,Task 2,Task 3,Method
100,1.0,0.9428571428571428,0.4948717948717949,EWC_Replay
100,1.0,0.9206349206349206,0.5256410256410257,EWC_Replay
100,1.0,0.6818181818181819,0.34102564102564104,EWC_Replay
100,1.0,0.7029411764705882,0.2256410256410256,EWC_Replay
100,0.9933333333333334,0.6705882352941177,0.24358974358974356,EWC_Replay
100,1.0,0.9428571428571428,0.5512820512820512,EWC_Replay
100,0.9733333333333334,0.6,0.25897435897435894,EWC_Replay
100,0.9866666666666667,0.634920634920635,0.5230769230769231,EWC_Replay
100,1.0,0.834920634920635,0.5512820512820513,EWC_Replay
100,1.0,0.7904761904761906,0.4769230769230769,EWC_Replay
100,1.0,0.9223880597014926,0.3846153846153846,EWC_Replay
100,1.0,0.7611940298507462,0.40512820512820513,EWC_Replay
100,1.0,0.584126984126984,0.5846153846153845,EWC_Replay
100,1.0,0.7588235294117647,0.2564102564102564,EWC_Replay
100,1.0,0.8603174603174603,0.4769230769230769,EWC_Replay
100,1.0,0.7606060606060605,0.37435897435897436,EWC_Replay
100,0.8818181818181818,0.9164179104477611,0.405128205128205,EWC_Replay
100,1.0,0.7611940298507462,0.30769230769230765,EWC_Replay
100,0.9933333333333334,0.6764705882352942,0.21538461538461537,EWC_Replay
100,0.9923076923076923,0.6317460317460317,0.4666666666666667,EWC_Replay
100,1.0,0.6571428571428571,0.5384615384615384,EWC_Replay
100,1.0,0.871641791044776,0.3153846153846154,EWC_Replay
100,0.9904761904761905,0.9111111111111111,0.5564102564102564,EWC_Replay
100,1.0,0.5015873015873016,0.4333333333333333,EWC_Replay
100,0.9800000000000001,0.6705882352941177,0.24871794871794867,EWC_Replay
100,1.0,0.780952380952381,0.4205128205128205,EWC_Replay
100,0.9800000000000001,0.5206349206349206,0.4282051282051282,EWC_Replay
100,1.0,0.8507936507936508,0.5692307692307692,EWC_Replay
100,0.9925925925925926,0.6567164179104477,0.3897435897435898,EWC_Replay
100,1.0,0.7714285714285715,0.48974358974358967,EWC_Replay
140,1.0,0.9428571428571427,0.45384615384615384,EWC_Replay
140,0.9904761904761905,0.9015873015873016,0.49230769230769234,EWC_Replay
140,0.9923076923076923,0.7424242424242425,0.3641025641025641,EWC_Replay
140,0.9733333333333334,0.6852941176470588,0.26410256410256405,EWC_Replay
140,0.9733333333333334,0.6117647058823529,0.22307692307692303,EWC_Replay
140,1.0,0.9269841269841269,0.44871794871794873,EWC_Replay
140,0.9933333333333334,0.661764705882353,0.3333333333333333,EWC_Replay
140,0.9933333333333334,0.6253968253968254,0.4282051282051282,EWC_Replay
140,0.990909090909091,0.8634920634920634,0.6025641025641025,EWC_Replay
140,1.0,0.8571428571428571,0.4564102564102564,EWC_Replay
140,1.0,0.9402985074626866,0.3717948717948718,EWC_Replay
140,1.0,0.817910447761194,0.4,EWC_Replay
140,1.0,0.5904761904761905,0.5307692307692308,EWC_Replay
140,1.0,0.6794117647058824,0.41538461538461535,EWC_Replay
140,1.0,0.8285714285714285,0.5282051282051282,EWC_Replay
140,1.0,0.7545454545454545,0.5153846153846153,EWC_Replay
140,0.890909090909091,0.8925373134328357,0.3897435897435897,EWC_Replay
140,1.0,0.737313432835821,0.3846153846153846,EWC_Replay
140,0.9933333333333334,0.7088235294117646,0.20512820512820512,EWC_Replay
140,1.0,0.5936507936507937,0.3717948717948717,EWC_Replay
140,1.0,0.6444444444444444,0.5076923076923077,EWC_Replay
140,1.0,0.9283582089552238,0.3282051282051282,EWC_Replay
140,1.0,0.86984126984127,0.43076923076923074,EWC_Replay
140,0.9866666666666667,0.6,0.4435897435897436,EWC_Replay
140,0.9733333333333334,0.6470588235294118,0.2179487179487179,EWC_Replay
140,1.0,0.8317460317460317,0.5128205128205128,EWC_Replay
140,0.9866666666666667,0.5206349206349206,0.45897435897435895,EWC_Replay
140,0.980952380952381,0.9142857142857144,0.5743589743589743,EWC_Replay
140,1.0,0.6328358208955224,0.4025641025641026,EWC_Replay
140,1.0,0.765079365079365,0.4641025641025641,EWC_Replay
196,1.0,0.9492063492063492,0.5487179487179487,EWC_Replay
196,0.980952380952381,0.8666666666666666,0.4923076923076922,EWC_Replay
196,1.0,0.693939393939394,0.4461538461538462,EWC_Replay
196,0.9866666666666667,0.6441176470588236,0.22307692307692303,EWC_Replay
196,0.9933333333333334,0.6764705882352942,0.3256410256410256,EWC_Replay
196,1.0,0.9111111111111111,0.46410256410256406,EWC_Replay
196,0.9933333333333334,0.6352941176470588,0.3384615384615384,EWC_Replay
196,0.9933333333333334,0.634920634920635,0.46410256410256406,EWC_Replay
196,0.9818181818181818,0.8031746031746032,0.5102564102564102,EWC_Replay
196,1.0,0.8730158730158731,0.4769230769230769,EWC_Replay
196,1.0,0.9552238805970148,0.34102564102564104,EWC_Replay
196,1.0,0.808955223880597,0.45384615384615384,EWC_Replay
196,1.0,0.6349206349206349,0.39743589743589736,EWC_Replay
196,1.0,0.7352941176470589,0.29999999999999993,EWC_Replay
196,1.0,0.8317460317460317,0.4384615384615384,EWC_Replay
196,1.0,0.7484848484848484,0.4897435897435898,EWC_Replay
196,0.990909090909091,0.8746268656716417,0.4025641025641026,EWC_Replay
196,1.0,0.773134328358209,0.39743589743589747,EWC_Replay
196,0.9733333333333334,0.6,0.22051282051282048,EWC_Replay
196,0.9923076923076923,0.7142857142857143,0.48461538461538467,EWC_Replay
196,1.0,0.5936507936507937,0.45897435897435895,EWC_Replay
196,1.0,0.9373134328358208,0.3384615384615384,EWC_Replay
196,1.0,0.8952380952380953,0.4435897435897435,EWC_Replay
196,0.9866666666666667,0.5936507936507937,0.49230769230769234,EWC_Replay
196,0.9933333333333334,0.6441176470588237,0.22820512820512814,EWC_Replay
196,1.0,0.7841269841269841,0.46923076923076923,EWC_Replay
196,0.96,0.5492063492063493,0.4461538461538462,EWC_Replay
196,0.9238095238095237,0.8952380952380953,0.5128205128205128,EWC_Replay
196,1.0,0.6746268656716417,0.4256410256410256,EWC_Replay
196,1.0,0.780952380952381,0.5025641025641026,EWC_Replay
274,1.0,0.9555555555555557,0.42564102564102557,EWC_Replay
274,1.0,0.9523809523809523,0.4769230769230769,EWC_Replay
274,1.0,0.6606060606060605,0.42564102564102557,EWC_Replay
274,0.9933333333333334,0.6323529411764706,0.28205128205128205,EWC_Replay
