EWC Replay - 135,EWC Replay - 142,EWC Replay - 201,EWC Replay - 285,Random - 135,Random - 142,Random - 201,Random - 285,iCaRL - 135,iCaRL - 142,iCaRL - 201,iCaRL - 285,LUCIR - 135,LUCIR - 142,LUCIR - 201,LUCIR - 285,VAE - BBox,VAE - Filter,VAE_GMM
1.0,0.9888888888888888,1.0,1.0,1.0,1.0,0.9888888888888888,1.0,0.977777777777778,0.9888888888888888,0.9888888888888888,0.8222222222222222,0.8,0.6,0.977777777777778,0.8111111111111111,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6777777777777778,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.36,0.24,0.24,0.0,1.0,0.8,0.42,0.6,1.0,1.0,1.0
0.9555555555555556,1.0,1.0,0.977777777777778,0.977777777777778,1.0,0.9111111111111112,1.0,0.2666666666666666,0.0222222222222222,0.0666666666666666,0.0444444444444444,0.3555555555555555,0.3777777777777777,0.2888888888888889,0.4444444444444445,1.0,1.0,1.0
1.0,1.0,0.8444444444444444,0.977777777777778,1.0,1.0,0.9111111111111112,1.0,0.3111111111111111,0.3333333333333333,0.1777777777777777,0.0,0.8222222222222222,0.7777777777777779,0.2666666666666667,0.7555555555555556,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9647058823529412,0.5647058823529412,0.9647058823529412,0.8,0.4352941176470589,0.4352941176470589,0.8,0.2,1.0,1.0,1.0
1.0,0.977777777777778,0.9333333333333332,0.9555555555555556,0.977777777777778,0.977777777777778,0.8444444444444443,1.0,0.1777777777777777,0.1111111111111111,0.0222222222222222,0.0222222222222222,0.4222222222222222,0.1555555555555555,0.2888888888888888,0.3111111111111111,1.0,1.0,1.0
0.9888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888888,0.7777777777777779,0.7444444444444445,0.9666666666666666,0.8,0.2777777777777778,0.2,0.788888888888889,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6705882352941177,0.8352941176470587,0.8,0.8,1.0,0.8,0.8,1.0,1.0,1.0
1.0,0.9888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666666,0.9888888888888888,0.9666666666666666,0.2,0.788888888888889,0.7777777777777778,0.788888888888889,0.7,1.0,1.0,1.0
1.0,1.0,0.9555555555555556,0.977777777777778,0.9555555555555556,0.977777777777778,0.977777777777778,0.977777777777778,0.2222222222222222,0.2222222222222222,0.0222222222222222,0.0222222222222222,0.8,0.9333333333333332,0.5333333333333334,0.5555555555555556,1.0,1.0,1.0
0.9555555555555556,1.0,0.9333333333333332,1.0,0.977777777777778,0.977777777777778,1.0,1.0,0.1333333333333333,0.1111111111111111,0.0,0.0444444444444444,0.6888888888888888,0.6222222222222222,0.4444444444444445,0.6666666666666666,0.977777777777778,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9647058823529412,0.9882352941176472,0.8235294117647058,0.6941176470588235,0.788235294117647,0.6,1.0,0.8,1.0,1.0,1.0
1.0,0.977777777777778,0.977777777777778,1.0,0.977777777777778,0.977777777777778,0.9333333333333332,0.977777777777778,0.0,0.1777777777777777,0.0444444444444444,0.0222222222222222,0.0,0.0888888888888888,0.0222222222222222,0.2222222222222222,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9058823529411764,0.4823529411764705,0.388235294117647,0.7647058823529411,0.188235294117647,0.8,0.6117647058823529,0.5647058823529412,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.1,0.04,0.1,0.02,0.4599999999999999,0.74,0.52,0.78,1.0,1.0,1.0
