Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4,Task 5
100,Random,0.9956198562987789,0.7594115470029746,0.48482226098613956,0.37933346804896406,0.3094240837696335
299,Random,0.9953432897608694,0.791593495030383,0.5562805683570079,0.3970055919236486,0.34554973821989526
894,Random,0.9961190018587424,0.810692387298906,0.5146260422673462,0.41479545685658503,0.3241273996509599
2674,Random,0.9955405378320025,0.8066617659029284,0.5436893379644868,0.43317734610371605,0.33787085514834203
215,Random,0.9950206822849237,0.7907234883680352,0.5095066520504059,0.3888167531938149,0.33856893542757416
100,EWC_Replay,0.9969244602861443,0.7658924621649686,0.48194879585167755,0.3435046302894503,0.31404886561954626
299,EWC_Replay,0.9953175209964437,0.7537893706911358,0.514553969485299,0.3918892019651618,0.34598603839441533
894,EWC_Replay,0.9963577025415474,0.8082670723087666,0.5204620340853562,0.40272900565708813,0.32796684118673647
2674,EWC_Replay,0.9946659919302334,0.8112044411424876,0.5487122100484069,0.4191659190240285,0.3589877835951134
215,EWC_Replay,0.9962302794585696,0.778344053386209,0.5135959228314447,0.37867146449402284,0.3115183246073298
100,iCaRL,0.99662862725202,0.7808047757356619,0.44229866733851575,0.2868280651779268,0.2795811518324607
299,iCaRL,0.9975565425304028,0.8316385018138063,0.44372163704848944,0.2941080566950523,0.269153577661431
894,iCaRL,0.9975565698208112,0.7856177701808461,0.4119595491711322,0.2976233994900943,0.25964223385689356
2674,iCaRL,0.9955288108137472,0.7352257942533439,0.37548005447633165,0.3053129463209864,0.26719022687609073
215,iCaRL,0.9967096750196348,0.8057511293399787,0.43270466204054114,0.3017137105403264,0.2642670157068062
100,LUCIR,0.9956827907317927,0.8238128547941965,0.5679668447271526,0.41791197055684687,0.34554973821989526
299,LUCIR,0.9968151401859179,0.795002518536341,0.5550493389226866,0.4149019006380911,0.3637434554973822
894,LUCIR,0.9974348816501213,0.7827380634767906,0.5905972001169427,0.46200413714935656,0.3799301919720767
2674,LUCIR,0.9975416847440248,0.7070782069923809,0.5792492344772951,0.4496107182315812,0.34672774869109946
215,LUCIR,0.9967621587077122,0.8146501347020988,0.575620935655967,0.4065821732841739,0.3818499127399651
100,VAE_BBox,0.9961131502577348,0.9278802528285073,0.6778191883443776,0.5148448619369025,0.4541797556719022
299,VAE_BBox,0.9961131502577348,0.9278802528285073,0.6778191883443776,0.5148448619369025,0.4541797556719022
894,VAE_BBox,0.9961131502577348,0.9278802528285073,0.6778191883443776,0.5148448619369025,0.4541797556719022
2674,VAE_BBox,0.9961131502577348,0.9278802528285073,0.6778191883443776,0.5148448619369025,0.4541797556719022
215,VAE_BBox,0.9961131502577348,0.9278802528285073,0.6778191883443776,0.5148448619369025,0.4541797556719022
100,VAE_Filter,0.9959685408175217,0.9193908565952376,0.6778944102701373,0.5135218612800951,0.4564921465968586
299,VAE_Filter,0.9959685408175217,0.9193908565952376,0.6778944102701373,0.5135218612800951,0.4564921465968586
894,VAE_Filter,0.9959685408175217,0.9193908565952376,0.6778944102701373,0.5135218612800951,0.4564921465968586
2674,VAE_Filter,0.9959685408175217,0.9193908565952376,0.6778944102701373,0.5135218612800951,0.4564921465968586
215,VAE_Filter,0.9959685408175217,0.9193908565952376,0.6778944102701373,0.5135218612800951,0.4564921465968586
100,VAE_GMM,0.9958211781245049,0.9644340288605626,0.894352174652472,0.7350359579429582,0.6275479930191972
299,VAE_GMM,0.9958211781245049,0.9644340288605626,0.894352174652472,0.7350359579429582,0.6275479930191972
894,VAE_GMM,0.9958211781245049,0.9644340288605626,0.894352174652472,0.7350359579429582,0.6275479930191972
2674,VAE_GMM,0.9958211781245049,0.9644340288605626,0.894352174652472,0.7350359579429582,0.6275479930191972
215,VAE_GMM,0.9958211781245049,0.9644340288605626,0.894352174652472,0.7350359579429582,0.6275479930191972
