Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Method
100,0.6666666666666666,0.3388429752066115,0.1711026615969581,0.2574257425742574,0.1294117647058823,0.1424731182795699,EWC_Replay
100,0.8,0.404,0.2622377622377622,0.2149837133550488,0.2088235294117647,0.2526881720430107,EWC_Replay
100,0.9130434782608696,0.592964824120603,0.3138075313807531,0.2035714285714285,0.247787610619469,0.1209677419354838,EWC_Replay
100,0.74,0.4232365145228215,0.1679389312977099,0.1806020066889632,0.336283185840708,0.1774193548387097,EWC_Replay
100,0.7902439024390244,0.3821138211382114,0.215547703180212,0.3009404388714733,0.2849002849002849,0.2016129032258064,EWC_Replay
100,0.7675675675675676,0.2941176470588235,0.1705426356589147,0.2130584192439862,0.25,0.2177419354838709,EWC_Replay
100,0.8928571428571429,0.33,0.5210084033613446,0.2271062271062271,0.1501597444089457,0.1881720430107527,EWC_Replay
100,0.875,0.5063829787234042,0.203125,0.2466216216216216,0.1869436201780415,0.1129032258064516,EWC_Replay
100,0.8605769230769231,0.3916666666666666,0.2030651340996168,0.2895622895622896,0.2018072289156626,0.1639784946236559,EWC_Replay
100,0.8404907975460123,0.4594594594594595,0.2862595419847328,0.2140468227424749,0.3235294117647059,0.282258064516129,EWC_Replay
100,0.8967391304347826,0.35,0.1867704280155642,0.316546762589928,0.2108626198083067,0.3172043010752688,EWC_Replay
100,0.8214285714285714,0.2,0.2627118644067797,0.1956521739130435,0.1757188498402556,0.3467741935483871,EWC_Replay
100,0.879746835443038,0.6036866359447005,0.2879377431906614,0.3661016949152542,0.3081570996978852,0.1962365591397849,EWC_Replay
100,0.9456521739130436,0.2682926829268293,0.3949579831932773,0.4175084175084175,0.2455089820359281,0.2096774193548387,EWC_Replay
100,0.9408866995073892,0.3775933609958506,0.3537906137184115,0.2449664429530201,0.2153392330383481,0.1451612903225806,EWC_Replay
100,0.9147727272727272,0.1924882629107981,0.4338235294117647,0.1954397394136807,0.1238938053097345,0.2043010752688172,EWC_Replay
100,0.8588235294117647,0.3560975609756097,0.3224489795918367,0.3594306049822064,0.1853035143769968,0.2580645161290322,EWC_Replay
100,0.891566265060241,0.2807881773399014,0.5,0.3016949152542373,0.2738095238095238,0.2580645161290322,EWC_Replay
100,0.8052631578947368,0.4424778761061947,0.3071161048689138,0.2073578595317725,0.108433734939759,0.1908602150537634,EWC_Replay
100,0.8578947368421053,0.4133333333333333,0.1924528301886792,0.2350993377483443,0.2058823529411764,0.2311827956989247,EWC_Replay
100,0.8805031446540881,0.4467005076142132,0.3025210084033613,0.3703703703703703,0.1837349397590361,0.2069892473118279,EWC_Replay
100,0.8982035928143712,0.3413461538461538,0.2530612244897959,0.1142857142857142,0.2140575079872204,0.2768817204301075,EWC_Replay
100,0.8504672897196262,0.2127659574468085,0.2720588235294117,0.3180327868852459,0.1911764705882352,0.1720430107526881,EWC_Replay
100,0.7411167512690355,0.2798165137614679,0.2874015748031496,0.2061855670103092,0.322289156626506,0.271505376344086,EWC_Replay
100,0.8611111111111112,0.3212669683257919,0.3385214007782101,0.1700680272108843,0.3083832335329341,0.303763440860215,EWC_Replay
100,0.9606741573033708,0.4444444444444444,0.3745454545454545,0.1418918918918918,0.115727002967359,0.0806451612903225,EWC_Replay
100,0.7258064516129032,0.2876106194690265,0.2366412213740458,0.2207357859531772,0.3147058823529411,0.2768817204301075,EWC_Replay
100,0.78,0.2946058091286307,0.1641221374045801,0.1170568561872909,0.2439759036144578,0.2365591397849462,EWC_Replay
100,0.7801047120418848,0.2280701754385964,0.2851711026615969,0.2927631578947368,0.1666666666666666,0.2688172043010752,EWC_Replay
100,0.9047619047619048,0.4805825242718446,0.4452830188679245,0.2033333333333333,0.3,0.1451612903225806,EWC_Replay
235,0.6666666666666666,0.4049586776859504,0.2129277566539923,0.2541254125412541,0.2147058823529411,0.2795698924731182,EWC_Replay
235,0.7714285714285715,0.432,0.2832167832167832,0.1530944625407166,0.1970588235294117,0.2123655913978494,EWC_Replay
235,0.9192546583850932,0.4221105527638191,0.3849372384937238,0.3964285714285714,0.3952802359882006,0.1666666666666666,EWC_Replay
235,0.805,0.4107883817427386,0.1946564885496183,0.2408026755852843,0.3628318584070796,0.1747311827956989,EWC_Replay
235,0.7463414634146341,0.2886178861788618,0.2261484098939929,0.1880877742946708,0.1823361823361823,0.0967741935483871,EWC_Replay
235,0.8162162162162162,0.3484162895927601,0.2248062015503876,0.3161512027491409,0.2379518072289156,0.1666666666666666,EWC_Replay
235,0.8869047619047619,0.295,0.4159663865546218,0.1648351648351648,0.2044728434504792,0.2419354838709677,EWC_Replay
235,0.8693181818181818,0.3957446808510638,0.22265625,0.2601351351351351,0.1661721068249258,0.1129032258064516,EWC_Replay
235,0.8125,0.425,0.3524904214559387,0.367003367003367,0.2138554216867469,0.2661290322580645,EWC_Replay
235,0.8282208588957055,0.3693693693693693,0.5877862595419847,0.2642140468227424,0.3617647058823529,0.2419354838709677,EWC_Replay
235,0.8913043478260869,0.359090909090909,0.3891050583657587,0.2050359712230215,0.0958466453674121,0.1854838709677419,EWC_Replay
235,0.8273809523809523,0.155,0.4279661016949153,0.4202898550724637,0.2523961661341853,0.293010752688172,EWC_Replay
235,0.8860759493670886,0.3732718894009216,0.4319066147859922,0.423728813559322,0.2628398791540785,0.1908602150537634,EWC_Replay
235,0.9347826086956522,0.1463414634146341,0.2521008403361344,0.2760942760942761,0.1706586826347305,0.2311827956989247,EWC_Replay
235,0.9408866995073892,0.4190871369294606,0.3465703971119133,0.261744966442953,0.2005899705014749,0.1075268817204301,EWC_Replay
235,0.9147727272727272,0.460093896713615,0.3235294117647059,0.1661237785016286,0.2064896755162241,0.2069892473118279,EWC_Replay
235,0.8647058823529412,0.3804878048780488,0.363265306122449,0.295373665480427,0.2523961661341853,0.2956989247311828,EWC_Replay
235,0.927710843373494,0.5172413793103449,0.3473282442748092,0.2203389830508474,0.2946428571428571,0.3709677419354839,EWC_Replay
235,0.7473684210526316,0.4867256637168141,0.449438202247191,0.3277591973244147,0.2801204819277108,0.2903225806451613,EWC_Replay
235,0.8526315789473684,0.1511111111111111,0.2754716981132075,0.2549668874172185,0.3117647058823529,0.2338709677419354,EWC_Replay
235,0.8805031446540881,0.4568527918781725,0.3235294117647059,0.3804713804713804,0.1927710843373494,0.25,EWC_Replay
235,0.9041916167664672,0.4711538461538461,0.4163265306122449,0.3892857142857143,0.2811501597444089,0.3010752688172043,EWC_Replay
235,0.7757009345794392,0.4042553191489361,0.3308823529411764,0.4262295081967213,0.1970588235294117,0.260752688172043,EWC_Replay
235,0.7715736040609137,0.1972477064220183,0.2559055118110236,0.268041237113402,0.3072289156626506,0.2553763440860215,EWC_Replay
235,0.8722222222222222,0.4615384615384615,0.3696498054474708,0.2414965986394557,0.2245508982035928,0.2177419354838709,EWC_Replay
235,0.9325842696629212,0.4537037037037037,0.4109090909090909,0.1621621621621621,0.1543026706231454,0.1048387096774193,EWC_Replay
235,0.7795698924731183,0.4292035398230088,0.2748091603053435,0.2675585284280936,0.2411764705882353,0.2043010752688172,EWC_Replay
