method,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time,total_time
VAE_BBox,100,11.816807003092574,35.45042100927772,10.69022947986562,32.07068843959686,67.52110944887457
VAE_Filter,100,11.696611334904613,35.089834004713836,10.528953425394441,31.58686027618332,66.67669428089715
VAE_GMM,100,12.81234735817614,38.43704207452842,11.098876762590335,33.29663028777101,71.73367236229943
VAE_BBox,235,11.816807003092574,35.45042100927772,10.69022947986562,32.07068843959686,67.52110944887457
VAE_Filter,235,11.696611334904613,35.089834004713836,10.528953425394441,31.58686027618332,66.67669428089715
VAE_GMM,235,12.81234735817614,38.43704207452842,11.098876762590335,33.29663028777101,71.73367236229943
VAE_BBox,554,11.816807003092574,35.45042100927772,10.69022947986562,32.07068843959686,67.52110944887457
VAE_Filter,554,11.696611334904613,35.089834004713836,10.528953425394441,31.58686027618332,66.67669428089715
VAE_GMM,554,12.81234735817614,38.43704207452842,11.098876762590335,33.29663028777101,71.73367236229943
VAE_BBox,1303,11.816807003092574,35.45042100927772,10.69022947986562,32.07068843959686,67.52110944887457
VAE_Filter,1303,11.696611334904613,35.089834004713836,10.528953425394441,31.58686027618332,66.67669428089715
VAE_GMM,1303,12.81234735817614,38.43704207452842,11.098876762590335,33.29663028777101,71.73367236229943
VAE_BBox,135,11.816807003092574,35.45042100927772,10.69022947986562,32.07068843959686,67.52110944887457
VAE_Filter,135,11.696611334904613,35.089834004713836,10.528953425394441,31.58686027618332,66.67669428089715
VAE_GMM,135,12.81234735817614,38.43704207452842,11.098876762590335,33.29663028777101,71.73367236229943
EWC_Replay,100,1.5620313519818914,4.6860940559456745,0.042229630913999325,0.12668889274199802,4.812782948687673
EWC_Replay,135,1.7757630829906297,5.327289248971889,0.0467806120858424,0.14034183625752722,5.467631085229416
EWC_Replay,235,1.706075882071422,5.118227646214267,0.0615133936496244,0.18454018094887337,5.302767827163141
EWC_Replay,554,1.8918514023804005,5.675554207141201,0.0761784186904077,0.22853525607122313,5.904089463212424
EWC_Replay,1303,2.0530365173891183,6.159109552167356,0.08385484207835459,0.2515645262350638,6.41067407840242
LUCIR,100,1.8633780291676523,5.590134087502956,0.7600541369534201,2.2801624108602603,7.870296498363216
LUCIR,135,2.5545174268053636,7.663552280416091,0.6979347817682557,2.0938043453047674,9.75735662572086
LUCIR,235,1.897849048140148,5.693547144420445,0.7718456562981009,2.3155369688943024,8.009084113314747
LUCIR,554,2.1329613329028647,6.398883998708593,0.8164304885075049,2.4492914655225144,8.848175464231108
LUCIR,1303,2.3563780559661494,7.069134167898445,0.8682445166839494,2.604733550051848,9.673867717950294
Random,100,1.1638797489222554,3.4916392467667663,0.05767106705241731,0.17301320115725197,3.664652447924018
Random,135,1.1814302343109415,3.5442907029328246,0.04960883073094816,0.14882649219284452,3.693117195125669
Random,235,1.1956279007924926,3.5868837023774782,0.06302491217851636,0.18907473653554915,3.7759584389130274
Random,554,1.2787061231776522,3.8361183695329557,0.07707137283351684,0.23121411850055057,4.067332488033506
Random,1303,1.3763871367586158,4.129161410275847,0.0841888530862828,0.25256655925884836,4.381727969534695
iCaRL,100,1.2962094720370239,3.8886284161110716,0.7714449456830821,2.3143348370492456,6.202963253160317
iCaRL,135,1.741078945605291,5.2232368368158735,0.7055595764103864,2.116678729231159,7.339915566047033
iCaRL,235,1.2719803077230851,3.815940923169255,0.7897841543331742,2.369352462999523,6.185293386168778
iCaRL,554,1.3402873955142722,4.020862186542816,0.8391704258046768,2.5175112774140307,6.538373463956846
iCaRL,1303,1.435298959447278,4.305896878341834,0.8910037932938172,2.6730113798814514,6.978908258223285
