dataset,scenario,person,method,vae_sampling,filter,iteration,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time
pamap,11111,1, ce_ewc_random,none, none,0,100,1.040615430391497,6.243692582348983,0.0347400505923562,0.2084403035541375
pamap,11111,1, ce_ewc_random,none, none,0,237,1.1128917831824057,6.6773506990944345,0.0535003214246696,0.3210019285480181
pamap,11111,1, ce_ewc_random,none, none,0,562,1.2666929625181689,7.600157775109013,0.0684257349206341,0.410554409523805
pamap,11111,1, ce_ewc_random,none, none,0,1332,1.4642200729188828,8.785320437513292,0.0804995040874928,0.4829970245249569
pamap,11111,1, ce_ewc_random,none, none,0,255,1.2237188257897895,7.342312954738736,0.0440481678634468,0.2642890071806808
pamap,11111,1, ce_ewc_random,none, none,1,100,0.9964601409931978,5.9787608459591866,0.0429617802302042,0.2577706813812256
pamap,11111,1, ce_ewc_random,none, none,1,237,1.0955242097274298,6.573145258364578,0.0538422376848757,0.3230534261092543
pamap,11111,1, ce_ewc_random,none, none,1,562,1.2688180666554862,7.612908399932914,0.0696899011593174,0.4181394069559044
pamap,11111,1, ce_ewc_random,none, none,1,1332,1.489478573942971,8.936871443657825,0.0845696112192753,0.507417667315652
pamap,11111,1, ce_ewc_random,none, none,1,255,1.243209058843139,7.459254353058835,0.0436418919979284,0.2618513519875705
pamap,11111,1, ce_ewc_random,none, none,2,100,1.0408163821531669,6.244898292919,0.0343065894726249,0.2058395368357499
pamap,11111,1, ce_ewc_random,none, none,2,237,1.1241743467851644,6.745046080710988,0.0475819497058788,0.2854916982352734
pamap,11111,1, ce_ewc_random,none, none,2,562,1.2817784868111763,7.690670920867059,0.061314075426371,0.367884452558226
pamap,11111,1, ce_ewc_random,none, none,2,1332,1.4735613966101984,8.841368379661192,0.073892400217139,0.4433544013028344
pamap,11111,1, ce_ewc_random,none, none,2,255,1.2557017072673062,7.534210243603836,0.0442635662336316,0.2655813974017898
pamap,11111,1, ce_ewc_random,none, none,3,100,1.0174976234427755,6.104985740656654,0.0312413996292485,0.187448397775491
pamap,11111,1, ce_ewc_random,none, none,3,237,1.108441032707277,6.650646196243664,0.0437998126157456,0.2627988756944736
pamap,11111,1, ce_ewc_random,none, none,3,562,1.2613892440442684,7.568335464265611,0.0607637898237617,0.3645827389425701
pamap,11111,1, ce_ewc_random,none, none,3,1332,1.4594285188294531,8.75657111297672,0.0736912377903031,0.4421474267418185
pamap,11111,1, ce_ewc_random,none, none,3,255,1.2142831039304534,7.285698623582721,0.048164612841275,0.28898767704765
pamap,11111,1, ce_ewc_random,none, none,4,100,1.0911036759407984,6.54662205564479,0.0328341334644291,0.1970048007865746
pamap,11111,1, ce_ewc_random,none, none,4,237,1.155059738115718,6.930358428694308,0.0472243294223315,0.2833459765339891
pamap,11111,1, ce_ewc_random,none, none,4,562,1.3268979065948057,7.961387439568837,0.0613042927588577,0.3678257565531466
pamap,11111,1, ce_ewc_random,none, none,4,1332,1.541251976870828,9.24751186122497,0.0743966200440708,0.4463797202644249
pamap,11111,1, ce_ewc_random,none, none,4,255,1.2440766318856429,7.464459791313857,0.0449429958023958,0.2696579748143752
pamap,11111,1, ce_random,none, none,0,100,0.6374761695870096,3.824857017522057,0.0395569499582052,0.2373416997492313
pamap,11111,1, ce_random,none, none,0,237,0.7136407138779762,4.281844283267856,0.0490619310488303,0.2943715862929821
pamap,11111,1, ce_random,none, none,0,562,0.798198413324577,4.789190479947461,0.0646028917420793,0.3876173504524761
pamap,11111,1, ce_random,none, none,0,1332,0.9128479350823908,5.477087610494346,0.0798796734824362,0.4792780408946176
pamap,11111,1, ce_random,none, none,0,255,0.7389780805756648,4.433868483453989,0.0451118957561751,0.2706713745370507
pamap,11111,1, ce_random,none, none,1,100,0.6507166888357865,3.904300133014719,0.0394988488819864,0.2369930932919184
pamap,11111,1, ce_random,none, none,1,237,0.7182606663451429,4.309563998070856,0.0498542623801363,0.2991255742808183
pamap,11111,1, ce_random,none, none,1,562,0.798326599908372,4.78995959945023,0.0648826582909182,0.3892959497455093
pamap,11111,1, ce_random,none, none,1,1332,0.9041034790118124,5.424620874070873,0.0787691906818913,0.4726151440913478
pamap,11111,1, ce_random,none, none,1,255,0.7711204933882173,4.626722960329304,0.0454992520778129,0.2729955124668777
pamap,11111,1, ce_random,none, none,2,100,0.6730660805892613,4.038396483535568,0.0398759373774131,0.2392556242644787
pamap,11111,1, ce_random,none, none,2,237,0.7096833018999961,4.258099811399976,0.0506516089662909,0.3039096537977457
pamap,11111,1, ce_random,none, none,2,562,0.7937745367142336,4.762647220285403,0.0650152573568953,0.390091544141372
pamap,11111,1, ce_random,none, none,2,1332,0.8966794468721168,5.3800766812327,0.0783892444283184,0.4703354665699104
pamap,11111,1, ce_random,none, none,2,255,0.7737601626302216,4.642560975781332,0.0444716207579606,0.2668297245477636
pamap,11111,1, ce_random,none, none,3,100,0.6447087681334878,3.868252608800928,0.037491507269442,0.2249490436166525
pamap,11111,1, ce_random,none, none,3,237,0.697723223341422,4.186339340048532,0.0481187682081427,0.2887126092488567
pamap,11111,1, ce_random,none, none,3,562,0.7800459764552888,4.680275858731734,0.061272550953759,0.3676353057225545
pamap,11111,1, ce_random,none, none,3,1332,0.8954522426912767,5.372713456147661,0.0763748692038158,0.4582492152228951
pamap,11111,1, ce_random,none, none,3,255,0.7748836002830003,4.649301601698001,0.0455324151397993,0.2731944908387959
pamap,11111,1, ce_random,none, none,4,100,0.6415523343616062,3.849314006169637,0.0377554316280616,0.2265325897683699
pamap,11111,1, ce_random,none, none,4,237,0.7019733033246462,4.211839819947879,0.0486185037220517,0.2917110223323106
pamap,11111,1, ce_random,none, none,4,562,0.7969064265696539,4.781438559417923,0.0631295021002491,0.3787770126014947
