method,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time,total_time
VAE_BBox,100,4.130749798058118,8.261499596116236,3.5773935493070423,7.154787098614085,15.41628669473032
VAE_Filter,100,4.181190906404828,8.362381812809655,4.6677817249362255,9.335563449872451,17.697945262682104
VAE_GMM,100,4.691779337001447,9.383558674002895,4.0635487381594455,8.127097476318891,17.510656150321786
VAE_BBox,142,4.130749798058118,8.261499596116236,3.5773935493070423,7.154787098614085,15.41628669473032
VAE_Filter,142,4.181190906404828,8.362381812809655,4.6677817249362255,9.335563449872451,17.697945262682104
VAE_GMM,142,4.691779337001447,9.383558674002895,4.0635487381594455,8.127097476318891,17.510656150321786
VAE_BBox,201,4.130749798058118,8.261499596116236,3.5773935493070423,7.154787098614085,15.41628669473032
VAE_Filter,201,4.181190906404828,8.362381812809655,4.6677817249362255,9.335563449872451,17.697945262682104
VAE_GMM,201,4.691779337001447,9.383558674002895,4.0635487381594455,8.127097476318891,17.510656150321786
VAE_BBox,286,4.130749798058118,8.261499596116236,3.5773935493070423,7.154787098614085,15.41628669473032
VAE_Filter,286,4.181190906404828,8.362381812809655,4.6677817249362255,9.335563449872451,17.697945262682104
VAE_GMM,286,4.691779337001447,9.383558674002895,4.0635487381594455,8.127097476318891,17.510656150321786
VAE_BBox,95,4.130749798058118,8.261499596116236,3.5773935493070423,7.154787098614085,15.41628669473032
VAE_Filter,95,4.181190906404828,8.362381812809655,4.6677817249362255,9.335563449872451,17.697945262682104
VAE_GMM,95,4.691779337001447,9.383558674002895,4.0635487381594455,8.127097476318891,17.510656150321786
EWC_Replay,95,0.7982424520949523,1.5964849041899045,0.021687352570394603,0.043374705140789276,1.6398596093306939
EWC_Replay,100,0.8165820166096092,1.6331640332192183,0.032299260596434246,0.06459852119286852,1.697762554412087
EWC_Replay,142,0.8482194552073876,1.6964389104147752,0.03333403018613652,0.06666806037227307,1.7631069707870484
EWC_Replay,201,0.8963720558583738,1.7927441117167473,0.03478337325569652,0.06956674651139308,1.8623108582281405
EWC_Replay,286,0.9102505127464731,1.8205010254929461,0.0357276031716416,0.07145520634328324,1.8919562318362293
LUCIR,95,0.830269012954086,1.660538025908172,0.22454559905764954,0.44909119811529913,2.109629224023471
LUCIR,100,0.6354324384902914,1.270864876980583,0.28129795319090284,0.5625959063818058,1.8334607833623888
LUCIR,142,0.6863408164369563,1.3726816328739126,0.2713992493785918,0.5427984987571836,1.9154801316310963
LUCIR,201,0.7132775953577625,1.426555190715525,0.26930114204684885,0.5386022840936978,1.9651574748092226
LUCIR,286,0.7353746284296114,1.4707492568592229,0.269860573556895,0.53972114711379,2.010470403973013
Random,95,0.5663113433370988,1.1326226866741975,0.01855923401812708,0.037118468036254196,1.1697411547104517
Random,100,0.5982264269019166,1.1964528538038333,0.05090662671873962,0.1018132534374793,1.2982661072413126
Random,142,0.6137167868576944,1.2274335737153887,0.04230132450660064,0.08460264901320133,1.31203622272859
Random,201,0.6305586658666531,1.2611173317333062,0.04175826024678014,0.08351652049356031,1.3446338522268666
Random,286,0.6429608510403584,1.2859217020807165,0.04118833608304456,0.08237667216608918,1.3682983742468058
iCaRL,95,0.704265599353239,1.408531198706478,0.23572838177594044,0.4714567635518809,1.8799879622583588
iCaRL,100,0.50371567863971,1.00743135727942,0.29353200388451417,0.5870640077690283,1.5944953650484484
iCaRL,142,0.5051531695884963,1.0103063391769926,0.28033056319380795,0.560661126387616,1.5709674655646086
iCaRL,201,0.5267246158793568,1.0534492317587136,0.28034776913623016,0.5606955382724603,1.614144770031174
iCaRL,286,0.5344788147509099,1.0689576295018197,0.27994865938089786,0.5598973187617957,1.6288549482636154
