Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4,Task 5
100,Random,0.9974706882030677,0.490973816989905,0.3493470087404649,0.26201556053798974,0.22194132703288044
390,Random,0.9980723850051464,0.552072955091008,0.38548527796881393,0.30912296699669733,0.2633628667060444
1520,Random,0.997920463338429,0.5717827925584218,0.4221709752881388,0.3273323261233118,0.28428037015160457
5928,Random,0.9981666309646383,0.5706607130127771,0.42943930606878916,0.32907779562498524,0.30729277416814327
215,Random,0.9984210159338057,0.5261459227215096,0.3593778842854107,0.28524221309466874,0.2541366410710769
100,EWC_Replay,0.9980562500868052,0.45482451314634464,0.3342551241565277,0.2582429703260806,0.22263831462886388
390,EWC_Replay,0.9982971686492709,0.5334143557053992,0.38159726456637133,0.31307738653830813,0.2634101201023823
1520,EWC_Replay,0.9982408332431124,0.5794405232338012,0.4224696834062582,0.3355543860416489,0.28592636345737343
5928,EWC_Replay,0.9982862567425136,0.5899906517452947,0.42844554145234226,0.34126712476239457,0.30286276826146874
215,EWC_Replay,0.9979511558681684,0.5013982043434938,0.35706934236366406,0.28313283654330573,0.24607599921244333
100,iCaRL,0.9993480226626982,0.5413619175517339,0.3686401866201178,0.2957424188947282,0.2689820830872218
390,iCaRL,0.9991204274544537,0.5833116215769915,0.4079645771481133,0.3316747031400507,0.2988619807048631
1520,iCaRL,0.9992782629663248,0.6087141547468047,0.44030952241494514,0.33464039476026236,0.30532388265406574
5928,iCaRL,0.9992514122256142,0.6024285735801684,0.4501396513178414,0.35338256055986633,0.3051506202008269
215,iCaRL,0.9992246029410299,0.5618676457100806,0.37948445470998526,0.30813289235651087,0.28700531600708795
100,LUCIR,0.9995043303224058,0.5339729504421175,0.371358458196078,0.30088421584458724,0.26915140775743246
390,LUCIR,0.9992141365724945,0.5713722535013177,0.42248522113863374,0.3261575264062512,0.29033274266587905
1520,LUCIR,0.9991781208587864,0.6083582136700894,0.42974179631912873,0.3506147773524357,0.2935065957865721
5928,LUCIR,0.9992594988995644,0.607961656303011,0.45703226260384816,0.37741564003844197,0.31729080527662923
215,LUCIR,0.9992858217265022,0.571173998966225,0.3981139272146619,0.311747213645797,0.27188816696200035
100,VAE_BBox,0.9981709984453427,0.9431358090578034,0.6441545966395014,0.458414725996467,0.4010750147666863
390,VAE_BBox,0.9981709984453427,0.9431358090578034,0.6441545966395014,0.458414725996467,0.4010750147666863
1520,VAE_BBox,0.9981709984453427,0.9431358090578034,0.6441545966395014,0.458414725996467,0.4010750147666863
5928,VAE_BBox,0.9981709984453427,0.9431358090578034,0.6441545966395014,0.458414725996467,0.4010750147666863
215,VAE_BBox,0.9981709984453427,0.9431358090578034,0.6441545966395014,0.458414725996467,0.4010750147666863
100,VAE_Filter,0.9982466854075899,0.9420968365170244,0.6525837717249677,0.4597293658540086,0.39309312856861583
390,VAE_Filter,0.9982466854075899,0.9420968365170244,0.6525837717249677,0.4597293658540086,0.39309312856861583
1520,VAE_Filter,0.9982466854075899,0.9420968365170244,0.6525837717249677,0.4597293658540086,0.39309312856861583
5928,VAE_Filter,0.9982466854075899,0.9420968365170244,0.6525837717249677,0.4597293658540086,0.39309312856861583
215,VAE_Filter,0.9982466854075899,0.9420968365170244,0.6525837717249677,0.4597293658540086,0.39309312856861583
100,VAE_GMM,0.9983250677448156,0.9166168875036151,0.6285285643204943,0.4576806979247285,0.3709155345540461
390,VAE_GMM,0.9983250677448156,0.9166168875036151,0.6285285643204943,0.4576806979247285,0.3709155345540461
1520,VAE_GMM,0.9983250677448156,0.9166168875036151,0.6285285643204943,0.4576806979247285,0.3709155345540461
5928,VAE_GMM,0.9983250677448156,0.9166168875036151,0.6285285643204943,0.4576806979247285,0.3709155345540461
215,VAE_GMM,0.9983250677448156,0.9166168875036151,0.6285285643204943,0.4576806979247285,0.3709155345540461
