method,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time,total_time
VAE_BBox,100,66.10594744283726,132.21189488567452,62.76570606091267,125.53141212182534,257.7433070074999
VAE_Filter,100,73.0415688228318,146.0831376456636,69.38929956649581,138.77859913299162,284.8617367786552
VAE_GMM,100,89.45490454497106,178.90980908994212,83.84438409604297,167.68876819208594,346.59857728202803
VAE_BBox,394,66.10594744283726,132.21189488567452,62.76570606091267,125.53141212182534,257.7433070074999
VAE_Filter,394,73.0415688228318,146.0831376456636,69.38929956649581,138.77859913299162,284.8617367786552
VAE_GMM,394,89.45490454497106,178.90980908994212,83.84438409604297,167.68876819208594,346.59857728202803
VAE_BBox,1550,66.10594744283726,132.21189488567452,62.76570606091267,125.53141212182534,257.7433070074999
VAE_Filter,1550,73.0415688228318,146.0831376456636,69.38929956649581,138.77859913299162,284.8617367786552
VAE_GMM,1550,89.45490454497106,178.90980908994212,83.84438409604297,167.68876819208594,346.59857728202803
VAE_BBox,6100,66.10594744283726,132.21189488567452,62.76570606091267,125.53141212182534,257.7433070074999
VAE_Filter,6100,73.0415688228318,146.0831376456636,69.38929956649581,138.77859913299162,284.8617367786552
VAE_GMM,6100,89.45490454497106,178.90980908994212,83.84438409604297,167.68876819208594,346.59857728202803
VAE_BBox,95,66.10594744283726,132.21189488567452,62.76570606091267,125.53141212182534,257.7433070074999
VAE_Filter,95,73.0415688228318,146.0831376456636,69.38929956649581,138.77859913299162,284.8617367786552
VAE_GMM,95,89.45490454497106,178.90980908994212,83.84438409604297,167.68876819208594,346.59857728202803
EWC_Replay,95,5.577107873894275,11.154215747788548,0.15644693964471418,0.31289387928942836,11.467109627077976
EWC_Replay,100,5.2243505020315455,10.448701004063091,0.15682726768155889,0.3136545353631178,10.762355539426208
EWC_Replay,394,5.444739177792023,10.889478355584046,0.17240312773113448,0.34480625546226895,11.234284611046315
EWC_Replay,1550,5.884059030281174,11.768118060562347,0.22430573880672453,0.44861147761344905,12.216729538175796
EWC_Replay,6100,6.600451880187417,13.200903760374834,0.2717126826321085,0.543425365264217,13.74432912563905
LUCIR,95,13.602959936490905,27.20591987298181,4.488944214476893,8.977888428953786,36.1838083019356
LUCIR,100,10.408460755621395,20.81692151124279,5.172235685624182,10.344471371248364,31.161392882491153
LUCIR,394,10.464807611467938,20.929615222935873,5.811825971143941,11.623651942287882,32.55326716522376
LUCIR,1550,11.123908359275925,22.24781671855185,8.88347726262278,17.76695452524556,40.01477124379741
LUCIR,6100,12.950986566618084,25.90197313323617,19.182718660989778,38.36543732197955,64.26741045521572
Random,95,4.029038181478779,8.058076362957557,0.15570368368178605,0.3114073673635721,8.369483730321129
Random,100,3.934112966954708,7.868225933909416,0.16948825397839146,0.33897650795678297,8.2072024418662
Random,394,4.01099382651349,8.02198765302698,0.17730561601618922,0.35461123203237854,8.376598885059359
Random,1550,4.225867043050627,8.451734086101254,0.2277497430352701,0.4554994860705402,8.907233572171794
Random,6100,4.611202501266574,9.222405002533147,0.27276911562619105,0.5455382312523822,9.76794323378553
iCaRL,95,12.38039270629796,24.76078541259592,4.768861591164023,9.537723182328046,34.298508594923966
iCaRL,100,7.435947872276107,14.871895744552214,5.13579158825179,10.27158317650358,25.143478921055795
iCaRL,394,7.497948113592962,14.995896227185927,5.787496702124676,11.57499340424935,26.57088963143528
iCaRL,1550,7.835291987682382,15.670583975364764,8.80019193287939,17.60038386575878,33.27096784112354
iCaRL,6100,8.794155558214213,17.58831111642842,19.019705776457364,38.03941155291473,55.62772266934315
