Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6
100,Random,0.8929226895780041,0.34243328589852934,0.309500520997872,0.2487001077663682,0.21954314466354402,0.2079728583545377
240,Random,0.8928437233911525,0.4126122298802936,0.35883655953278987,0.29506000942638433,0.25948942497365973,0.2180661577608142
575,Random,0.8936646744588685,0.40715379776972793,0.3379626864862518,0.28802751382694386,0.23967839714825356,0.2271416454622561
1378,Random,0.888624385576909,0.4087171254049925,0.3497723188840206,0.2761936481725192,0.24881535911214853,0.19983036471586088
255,Random,0.8890166047645024,0.3842011389435661,0.29655103360011714,0.2675476963336542,0.25040588961215327,0.22485156912637824
100,EWC_Replay,0.8935160645833171,0.3784376036050355,0.2897861870263936,0.2505696003599732,0.21551672269341193,0.1999151823579304
240,EWC_Replay,0.8898035006378646,0.41249693073673943,0.34355444241954725,0.27945301605950873,0.2329551768658633,0.21882951653944016
575,EWC_Replay,0.8914512337973065,0.38918685257408814,0.3409973039089633,0.27377412670813367,0.2552378518962757,0.21832061068702288
1378,EWC_Replay,0.8923930058846794,0.40996159677475125,0.368237535655708,0.30514156856212077,0.2591747876864029,0.22035623409669208
255,EWC_Replay,0.8951892520832121,0.40346672825953295,0.32193460708820526,0.2737477703461974,0.2615980446554587,0.23019508057675994
100,iCaRL,0.9001851233904411,0.4164376832274528,0.32056656674284895,0.280552928929303,0.23181208281031782,0.2074639525021204
240,iCaRL,0.8988008138295505,0.35412236748428455,0.288951650862577,0.24341872240870574,0.19461408663061489,0.18083121289228157
575,iCaRL,0.9010245294513858,0.31659584261902485,0.23932368235760565,0.2178288804784992,0.1869645044472251,0.12926208651399487
1378,iCaRL,0.900195231006721,0.3012130185418594,0.23785451897007698,0.19740680992411977,0.15990478306068576,0.15241730279898216
255,iCaRL,0.895117593518395,0.34374416643948863,0.27848654876133133,0.2465008549193848,0.2143065719437385,0.18668363019508055
100,LUCIR,0.9031525213489543,0.38310616557804533,0.3188983101336483,0.28116233166003923,0.23463140166153293,0.2247667514843087
240,LUCIR,0.8963319349536716,0.3773478265637742,0.31394665070526767,0.2709326816819594,0.24154933209662727,0.18854961832061065
575,LUCIR,0.9002290937338324,0.3525433016000436,0.30222246031045247,0.25845432751267133,0.26230608834069086,0.21187446988973704
1378,LUCIR,0.8996286620503118,0.36042556933887987,0.29930007745554155,0.24315495890639227,0.19963476823227252,0.17633587786259539
255,LUCIR,0.9016409534876222,0.3755412717977157,0.32166640882024156,0.2864591015451531,0.22023628784329033,0.19983036471586088
100,VAE_BBox,0.8885379411195734,0.715240400540366,0.5392392889407909,0.42083548838171914,0.3515674094258416,0.3017642069550466
240,VAE_BBox,0.8885379411195734,0.715240400540366,0.5392392889407909,0.42083548838171914,0.3515674094258416,0.3017642069550466
575,VAE_BBox,0.8885379411195734,0.715240400540366,0.5392392889407909,0.42083548838171914,0.3515674094258416,0.3017642069550466
1378,VAE_BBox,0.8885379411195734,0.715240400540366,0.5392392889407909,0.42083548838171914,0.3515674094258416,0.3017642069550466
255,VAE_BBox,0.8885379411195734,0.715240400540366,0.5392392889407909,0.42083548838171914,0.3515674094258416,0.3017642069550466
100,VAE_Filter,0.8890431396834572,0.7118109433436035,0.547900519880098,0.4195666125967628,0.3597280570894109,0.31050042408821027
240,VAE_Filter,0.8890431396834572,0.7118109433436035,0.547900519880098,0.4195666125967628,0.3597280570894109,0.31050042408821027
575,VAE_Filter,0.8890431396834572,0.7118109433436035,0.547900519880098,0.4195666125967628,0.3597280570894109,0.31050042408821027
1378,VAE_Filter,0.8890431396834572,0.7118109433436035,0.547900519880098,0.4195666125967628,0.3597280570894109,0.31050042408821027
255,VAE_Filter,0.8890431396834572,0.7118109433436035,0.547900519880098,0.4195666125967628,0.3597280570894109,0.31050042408821027
100,VAE_GMM,0.8882522489296039,0.7836726398020891,0.6380493342082711,0.5210008751740091,0.4390374205120272,0.3873282442748091
240,VAE_GMM,0.8882522489296039,0.7836726398020891,0.6380493342082711,0.5210008751740091,0.4390374205120272,0.3873282442748091
575,VAE_GMM,0.8882522489296039,0.7836726398020891,0.6380493342082711,0.5210008751740091,0.4390374205120272,0.3873282442748091
1378,VAE_GMM,0.8882522489296039,0.7836726398020891,0.6380493342082711,0.5210008751740091,0.4390374205120272,0.3873282442748091
255,VAE_GMM,0.8882522489296039,0.7836726398020891,0.6380493342082711,0.5210008751740091,0.4390374205120272,0.3873282442748091
