Exemplar_Size,Method,Task 2,Task 3,Task 4
100,Random,0.4975925546541721,0.29783991694875306,0.2284801039366447
142,Random,0.4681881497847853,0.28380709596496145,0.20872084066552893
201,Random,0.4656734506963184,0.2938234282738634,0.20819192552642943
286,Random,0.48553719060277856,0.2967763957701648,0.21685847057049862
175,Random,0.47845342292528603,0.29661127594452164,0.20743846086602885
100,EWC_Replay,0.467288437987202,0.2928145642452357,0.22693748345109183
142,EWC_Replay,0.4678677275883294,0.28141523842881977,0.20530177226928759
201,EWC_Replay,0.4824931545791025,0.2983194005784499,0.20797780514286215
286,EWC_Replay,0.48576956328625137,0.31518464771240434,0.23621061866628149
175,EWC_Replay,0.47772626706679006,0.29533567378938014,0.22079493669923866
100,iCaRL,0.47173176142150974,0.26443878860403375,0.20271169743338305
142,iCaRL,0.4670423815979239,0.2819455608442114,0.20327812427549033
201,iCaRL,0.47761994323784934,0.28360781198076984,0.20547591682534608
286,iCaRL,0.48186142122391634,0.2758823680666175,0.2140098108895299
175,iCaRL,0.47370200453294464,0.2814636706228017,0.20440144832243157
100,LUCIR,0.5568219522149574,0.3529990687787288,0.2794677605099027
142,LUCIR,0.5450531478008117,0.3538635774962079,0.27194313510116846
201,LUCIR,0.537320379429643,0.3353794341852931,0.2577217477674018
286,LUCIR,0.5492218634078652,0.35452978123194445,0.3022496835912112
175,LUCIR,0.5653307649886,0.370101057167864,0.26413868523438316
100,VAE_BBox,0.793246102351291,0.49537849020453145,0.33991596131894636
142,VAE_BBox,0.793246102351291,0.49537849020453145,0.33991596131894636
201,VAE_BBox,0.793246102351291,0.49537849020453145,0.33991596131894636
286,VAE_BBox,0.793246102351291,0.49537849020453145,0.33991596131894636
175,VAE_BBox,0.793246102351291,0.49537849020453145,0.33991596131894636
100,VAE_Filter,0.795235338933685,0.5122680984108248,0.36625335760717675
142,VAE_Filter,0.795235338933685,0.5122680984108248,0.36625335760717675
201,VAE_Filter,0.795235338933685,0.5122680984108248,0.36625335760717675
286,VAE_Filter,0.795235338933685,0.5122680984108248,0.36625335760717675
175,VAE_Filter,0.795235338933685,0.5122680984108248,0.36625335760717675
100,VAE_GMM,0.8859565666471659,0.7082809452668186,0.5356434430850585
142,VAE_GMM,0.8859565666471659,0.7082809452668186,0.5356434430850585
201,VAE_GMM,0.8859565666471659,0.7082809452668186,0.5356434430850585
286,VAE_GMM,0.8859565666471659,0.7082809452668186,0.5356434430850585
175,VAE_GMM,0.8859565666471659,0.7082809452668186,0.5356434430850585
