Exemplar_Size,Task 1,Task 2,Method
100,0.9706293706293707,0.44952380952380955,EWC_Replay
100,0.9843478260869565,0.5771428571428571,EWC_Replay
100,0.9132352941176471,0.7742857142857142,EWC_Replay
100,0.9163636363636364,0.45714285714285713,EWC_Replay
100,0.9209876543209876,0.4742857142857142,EWC_Replay
100,0.9734265734265735,0.5542857142857143,EWC_Replay
100,0.9148148148148149,0.43999999999999995,EWC_Replay
100,0.9857142857142858,0.6057142857142856,EWC_Replay
100,0.9655737704918034,0.7295238095238096,EWC_Replay
100,0.981818181818182,0.47904761904761906,EWC_Replay
100,0.9814285714285713,0.6142857142857143,EWC_Replay
100,0.9130434782608695,0.5409523809523809,EWC_Replay
100,0.9826086956521738,0.5914285714285714,EWC_Replay
100,0.8933333333333333,0.39428571428571424,EWC_Replay
100,0.9734265734265735,0.5247619047619049,EWC_Replay
100,0.9846153846153847,0.5152380952380953,EWC_Replay
100,0.906766917293233,0.7333333333333333,EWC_Replay
100,0.8766917293233083,0.7447619047619047,EWC_Replay
100,0.9652777777777777,0.36761904761904757,EWC_Replay
100,0.9036496350364963,0.5838095238095239,EWC_Replay
100,0.9638888888888889,0.38476190476190475,EWC_Replay
100,0.9180124223602485,0.6685714285714286,EWC_Replay
100,0.9913043478260871,0.5733333333333333,EWC_Replay
100,0.9776223776223777,0.5095238095238095,EWC_Replay
100,0.9694444444444444,0.38,EWC_Replay
100,0.9777777777777779,0.3752380952380952,EWC_Replay
100,0.8941176470588236,0.7571428571428571,EWC_Replay
100,0.9762237762237762,0.5104761904761904,EWC_Replay
100,0.9022556390977444,0.6714285714285715,EWC_Replay
100,0.9860869565217392,0.578095238095238,EWC_Replay
195,0.9846153846153847,0.58,EWC_Replay
195,0.982608695652174,0.6971428571428572,EWC_Replay
195,0.8882352941176471,0.7723809523809523,EWC_Replay
195,0.9151515151515153,0.48952380952380947,EWC_Replay
195,0.9395061728395062,0.5095238095238095,EWC_Replay
195,0.9762237762237762,0.5914285714285714,EWC_Replay
195,0.9234567901234568,0.4904761904761904,EWC_Replay
195,0.9842857142857143,0.6342857142857143,EWC_Replay
195,0.9688524590163933,0.6980952380952381,EWC_Replay
195,0.9748251748251748,0.6028571428571429,EWC_Replay
195,0.9842857142857143,0.6295238095238095,EWC_Replay
195,0.8881987577639752,0.700952380952381,EWC_Replay
195,0.9773913043478262,0.661904761904762,EWC_Replay
195,0.9006060606060606,0.519047619047619,EWC_Replay
195,0.972027972027972,0.5980952380952381,EWC_Replay
195,0.979020979020979,0.6561904761904762,EWC_Replay
195,0.8992481203007519,0.7342857142857143,EWC_Replay
195,0.906766917293233,0.6980952380952382,EWC_Replay
195,0.9736111111111111,0.38,EWC_Replay
195,0.9240875912408759,0.6038095238095238,EWC_Replay
195,0.9652777777777777,0.44666666666666666,EWC_Replay
195,0.9130434782608695,0.7161904761904762,EWC_Replay
195,0.9860869565217392,0.5761904761904761,EWC_Replay
195,0.9706293706293707,0.5076190476190476,EWC_Replay
195,0.9680555555555556,0.419047619047619,EWC_Replay
195,0.9638888888888889,0.4704761904761905,EWC_Replay
195,0.9132352941176471,0.7457142857142858,EWC_Replay
195,0.9706293706293705,0.6104761904761904,EWC_Replay
195,0.8977443609022556,0.7352380952380952,EWC_Replay
195,0.9826086956521738,0.6657142857142857,EWC_Replay
379,0.9804195804195805,0.6171428571428572,EWC_Replay
379,0.9843478260869567,0.780952380952381,EWC_Replay
379,0.8294117647058824,0.7552380952380953,EWC_Replay
379,0.9078787878787878,0.4247619047619048,EWC_Replay
379,0.9283950617283951,0.5342857142857143,EWC_Replay
379,0.9846153846153847,0.6161904761904762,EWC_Replay
379,0.9197530864197532,0.5971428571428572,EWC_Replay
379,0.9814285714285715,0.6942857142857143,EWC_Replay
379,0.9737704918032787,0.6780952380952381,EWC_Replay
379,0.9790209790209792,0.6333333333333334,EWC_Replay
379,0.9814285714285715,0.6457142857142857,EWC_Replay
379,0.9043478260869564,0.7285714285714285,EWC_Replay
379,0.9843478260869567,0.7228571428571429,EWC_Replay
379,0.873939393939394,0.5704761904761904,EWC_Replay
379,0.9664335664335665,0.5533333333333333,EWC_Replay
379,0.9832167832167833,0.6304761904761905,EWC_Replay
379,0.8977443609022557,0.759047619047619,EWC_Replay
379,0.8917293233082706,0.740952380952381,EWC_Replay
379,0.9708333333333334,0.5323809523809523,EWC_Replay
379,0.9124087591240876,0.6409523809523809,EWC_Replay
379,0.9555555555555555,0.5657142857142857,EWC_Replay
379,0.9130434782608695,0.6914285714285715,EWC_Replay
379,0.9913043478260871,0.602857142857143,EWC_Replay
379,0.9706293706293707,0.5914285714285714,EWC_Replay
379,0.9638888888888889,0.5219047619047619,EWC_Replay
379,0.9652777777777779,0.43238095238095237,EWC_Replay
379,0.9161764705882351,0.7742857142857142,EWC_Replay
379,0.9734265734265735,0.5952380952380952,EWC_Replay
379,0.906766917293233,0.7314285714285714,EWC_Replay
379,0.9843478260869567,0.7323809523809524,EWC_Replay
737,0.9762237762237763,0.660952380952381,EWC_Replay
737,0.9860869565217392,0.7828571428571428,EWC_Replay
737,0.85,0.7828571428571429,EWC_Replay
737,0.9272727272727271,0.4704761904761905,EWC_Replay
737,0.9271604938271605,0.5685714285714286,EWC_Replay
737,0.9678321678321679,0.5885714285714286,EWC_Replay
737,0.9246913580246915,0.5352380952380952,EWC_Replay
737,0.9842857142857143,0.6914285714285713,EWC_Replay
737,0.9508196721311476,0.6133333333333334,EWC_Replay
737,0.9804195804195805,0.6552380952380952,EWC_Replay
737,0.9828571428571429,0.6904761904761905,EWC_Replay
737,0.8968944099378883,0.6876190476190476,EWC_Replay
737,0.982608695652174,0.7780952380952381,EWC_Replay
737,0.9151515151515153,0.45999999999999996,EWC_Replay
737,0.9762237762237763,0.6114285714285714,EWC_Replay
737,0.9846153846153847,0.7123809523809523,EWC_Replay
737,0.912781954887218,0.7428571428571428,EWC_Replay
737,0.8857142857142858,0.7790476190476191,EWC_Replay
737,0.9708333333333334,0.6142857142857142,EWC_Replay
737,0.9255474452554745,0.6361904761904762,EWC_Replay
737,0.9555555555555555,0.4838095238095238,EWC_Replay
737,0.924223602484472,0.6666666666666666,EWC_Replay
737,0.9895652173913044,0.6409523809523809,EWC_Replay
737,0.9762237762237762,0.660952380952381,EWC_Replay
737,0.9625,0.5066666666666666,EWC_Replay
737,0.961111111111111,0.4609523809523809,EWC_Replay
737,0.9205882352941176,0.800952380952381,EWC_Replay
737,0.9818181818181818,0.6542857142857142,EWC_Replay
737,0.912781954887218,0.7485714285714286,EWC_Replay
737,0.9756521739130436,0.8019047619047619,EWC_Replay
95,0.9776223776223777,0.6266666666666667,EWC_Replay
95,0.9860869565217392,0.5885714285714286,EWC_Replay
95,0.8926470588235293,0.7761904761904761,EWC_Replay
95,0.9175757575757576,0.419047619047619,EWC_Replay
95,0.9209876543209876,0.5019047619047619,EWC_Replay
95,0.979020979020979,0.48952380952380947,EWC_Replay
95,0.9209876543209876,0.49809523809523804,EWC_Replay
95,0.9828571428571429,0.6190476190476191,EWC_Replay
95,0.962295081967213,0.6761904761904762,EWC_Replay
95,0.9804195804195803,0.5476190476190477,EWC_Replay
95,0.9842857142857143,0.5933333333333334,EWC_Replay
95,0.9229813664596275,0.6638095238095237,EWC_Replay
95,0.9808695652173913,0.6076190476190476,EWC_Replay
95,0.9199999999999999,0.40380952380952373,EWC_Replay
95,0.9734265734265735,0.5476190476190476,EWC_Replay
95,0.9818181818181818,0.5438095238095237,EWC_Replay
95,0.9293233082706767,0.7038095238095239,EWC_Replay
95,0.8992481203007519,0.7047619047619048,EWC_Replay
95,0.9736111111111112,0.3676190476190476,EWC_Replay
95,0.9284671532846716,0.6038095238095238,EWC_Replay
95,0.9708333333333334,0.34095238095238095,EWC_Replay
95,0.9080745341614908,0.64,EWC_Replay
95,0.9895652173913044,0.5638095238095238,EWC_Replay
95,0.9818181818181818,0.5380952380952381,EWC_Replay
95,0.9625,0.3371428571428571,EWC_Replay
95,0.9777777777777776,0.3304761904761905,EWC_Replay
95,0.864705882352941,0.7428571428571429,EWC_Replay
95,0.9818181818181818,0.4514285714285714,EWC_Replay
95,0.9067669172932332,0.7457142857142858,EWC_Replay
95,0.9913043478260871,0.6466666666666667,EWC_Replay
100,0.9818181818181818,0.4742857142857142,Random
100,0.9843478260869567,0.5609523809523809,Random
100,0.8970588235294116,0.7657142857142857,Random
100,0.8739393939393938,0.37333333333333335,Random
100,0.9160493827160494,0.4790476190476191,Random
100,0.9734265734265733,0.5799999999999998,Random
100,0.9333333333333332,0.5285714285714285,Random
100,0.9828571428571428,0.6257142857142857,Random
100,0.9672131147540982,0.679047619047619,Random
100,0.9776223776223777,0.47904761904761906,Random
100,0.9885714285714287,0.6352380952380953,Random
100,0.9267080745341616,0.638095238095238,Random
100,0.9791304347826089,0.5895238095238096,Random
100,0.9103030303030304,0.3961904761904762,Random
100,0.9776223776223777,0.562857142857143,Random
100,0.979020979020979,0.4847619047619047,Random
100,0.912781954887218,0.7019047619047619,Random
100,0.894736842105263,0.7180952380952381,Random
100,0.961111111111111,0.37904761904761897,Random
100,0.9255474452554745,0.6114285714285714,Random
100,0.9625,0.36,Random
100,0.9217391304347826,0.7190476190476189,Random
100,0.9895652173913044,0.5666666666666667,Random
100,0.9762237762237762,0.5342857142857144,Random
100,0.9736111111111111,0.42095238095238086,Random
100,0.9625,0.3876190476190476,Random
100,0.8823529411764705,0.7504761904761905,Random
100,0.9748251748251751,0.54,Random
100,0.9157894736842105,0.6838095238095239,Random
100,0.9843478260869567,0.6057142857142856,Random
195,0.981818181818182,0.6561904761904761,Random
195,0.982608695652174,0.6980952380952381,Random
195,0.8647058823529411,0.7771428571428571,Random
195,0.9236363636363635,0.4609523809523809,Random
195,0.9283950617283951,0.4914285714285714,Random
195,0.9762237762237762,0.5171428571428571,Random
195,0.9222222222222222,0.48761904761904756,Random
195,0.9785714285714284,0.6752380952380952,Random
195,0.9737704918032787,0.6380952380952382,Random
195,0.9762237762237763,0.7066666666666667,Random
195,0.9814285714285715,0.6961904761904762,Random
195,0.9204968944099379,0.6904761904761905,Random
195,0.9843478260869565,0.6761904761904762,Random
195,0.901818181818182,0.43238095238095237,Random
195,0.979020979020979,0.6171428571428571,Random
195,0.9748251748251748,0.6428571428571428,Random
195,0.8917293233082708,0.7323809523809522,Random
195,0.9157894736842106,0.7514285714285714,Random
195,0.9694444444444444,0.36952380952380953,Random
195,0.9226277372262773,0.5647619047619048,Random
195,0.961111111111111,0.47619047619047616,Random
195,0.9167701863354039,0.6952380952380952,Random
