Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6
100,Random,0.8517220656754466,0.37733880168842393,0.30528858785196894,0.24595513378897518,0.20740212999381205,0.19722222222222222
235,Random,0.8496976248810193,0.3925966282731911,0.31785564209025746,0.26617368665719565,0.2654016968268684,0.23611111111111108
554,Random,0.8382936573011419,0.4177459939073373,0.34645757443569614,0.2724538036977382,0.25469538902041006,0.22293906810035838
1303,Random,0.8453073231287295,0.3853128439579875,0.3376922294559179,0.28099485326683776,0.25751262199866143,0.2255376344086021
255,Random,0.8467728762480052,0.4002397645835002,0.3395126671679715,0.2748107553490521,0.24091226197314597,0.2362007168458781
100,EWC_Replay,0.8447323140303634,0.36482508170589323,0.2905324116080474,0.24474800500568764,0.22444242868795783,0.21523297491039423
235,EWC_Replay,0.845316191170236,0.3688884247889846,0.3290405809428363,0.27570389432661996,0.2428224441886005,0.2205197132616487
554,EWC_Replay,0.8445019196524922,0.399763784544018,0.34910072170299444,0.296611748021378,0.25571514046143884,0.2387096774193548
1303,EWC_Replay,0.8437689318459826,0.39174727378566393,0.336408797137759,0.2764607716995853,0.26137172498640876,0.23037634408602148
255,EWC_Replay,0.8447769340196344,0.3729188496225873,0.32815724676560454,0.27074645495155203,0.2503269040990506,0.23664874551971324
100,iCaRL,0.8574871993557035,0.40275259269725633,0.3134130251730293,0.23096957190594633,0.21687059733623423,0.1997311827956989
235,iCaRL,0.8496128443774474,0.35902530962677515,0.28987019010864545,0.24051943823088637,0.21028324641035795,0.16603942652329748
554,iCaRL,0.8598152893143001,0.30431891366103886,0.19612951286610297,0.20056302028318732,0.16753049580838472,0.12544802867383506
1303,iCaRL,0.8659481418594398,0.29113728291462215,0.2142330922672966,0.1744904048191644,0.17966511448064743,0.13324372759856626
255,iCaRL,0.8523585076833176,0.3442827540626169,0.2971280012001381,0.20860196311469587,0.21224036688044906,0.17464157706093186
100,LUCIR,0.8686737890602498,0.3742005170752334,0.31451838072351757,0.25074528514749944,0.2114072060946574,0.20044802867383507
235,LUCIR,0.8637074278976542,0.37903928407896376,0.33327309139796013,0.24893283759136217,0.2169044061844602,0.20421146953405014
554,LUCIR,0.8599407701972351,0.38392768354078355,0.3083512128524891,0.27077139863149075,0.21121116113010008,0.19318996415770606
1303,LUCIR,0.8617906929407638,0.35778610887531986,0.3109494668580247,0.23968532900176162,0.2499056476909987,0.2012544802867383
255,LUCIR,0.864472533839732,0.3745039263959339,0.33633889274891277,0.2787826798080502,0.24541577450789304,0.2154121863799283
100,VAE_BBox,0.8472299571364575,0.6104490066847178,0.4474027399585058,0.32719059104588344,0.2780682776996552,0.2422939068100358
235,VAE_BBox,0.8472299571364575,0.6104490066847178,0.4474027399585058,0.32719059104588344,0.2780682776996552,0.2422939068100358
554,VAE_BBox,0.8472299571364575,0.6104490066847178,0.4474027399585058,0.32719059104588344,0.2780682776996552,0.2422939068100358
1303,VAE_BBox,0.8472299571364575,0.6104490066847178,0.4474027399585058,0.32719059104588344,0.2780682776996552,0.2422939068100358
255,VAE_BBox,0.8472299571364575,0.6104490066847178,0.4474027399585058,0.32719059104588344,0.2780682776996552,0.2422939068100358
100,VAE_Filter,0.8433695080735889,0.609246799448576,0.45211590171097354,0.33427808509103696,0.2743253222825221,0.24172043010752683
235,VAE_Filter,0.8433695080735889,0.609246799448576,0.45211590171097354,0.33427808509103696,0.2743253222825221,0.24172043010752683
554,VAE_Filter,0.8433695080735889,0.609246799448576,0.45211590171097354,0.33427808509103696,0.2743253222825221,0.24172043010752683
1303,VAE_Filter,0.8433695080735889,0.609246799448576,0.45211590171097354,0.33427808509103696,0.2743253222825221,0.24172043010752683
255,VAE_Filter,0.8433695080735889,0.609246799448576,0.45211590171097354,0.33427808509103696,0.2743253222825221,0.24172043010752683
100,VAE_GMM,0.8478009800963666,0.7575661898756596,0.6076159311422474,0.4800427719001489,0.40306806486791485,0.3503046594982078
235,VAE_GMM,0.8478009800963666,0.7575661898756596,0.6076159311422474,0.4800427719001489,0.40306806486791485,0.3503046594982078
554,VAE_GMM,0.8478009800963666,0.7575661898756596,0.6076159311422474,0.4800427719001489,0.40306806486791485,0.3503046594982078
1303,VAE_GMM,0.8478009800963666,0.7575661898756596,0.6076159311422474,0.4800427719001489,0.40306806486791485,0.3503046594982078
255,VAE_GMM,0.8478009800963666,0.7575661898756596,0.6076159311422474,0.4800427719001489,0.40306806486791485,0.3503046594982078
