Exemplar_Size,Method,Task 1,Task 2
100,Random,0.9919456248701531,0.754074074074074
142,Random,0.9884154973400257,0.7353086419753087
201,Random,0.9924404164026804,0.7621399176954732
285,Random,0.9922595322595323,0.7576954732510288
95,Random,0.9886666426289068,0.7351440329218107
100,EWC_Replay,0.9923397872265797,0.7665020576131687
142,EWC_Replay,0.9915218134086058,0.7467489711934157
201,EWC_Replay,0.990341379114964,0.7792592592592592
285,EWC_Replay,0.9882926842549484,0.7697119341563785
95,EWC_Replay,0.9890253519876161,0.7302880658436214
100,iCaRL,0.9948350043682284,0.4410699588477366
142,iCaRL,0.9914763300850258,0.416954732510288
201,iCaRL,0.9905995085995086,0.4292181069958847
285,iCaRL,0.9903906633906634,0.40716049382716046
95,iCaRL,0.9931905411905412,0.4622222222222222
100,LUCIR,0.884021944021944,0.7623045267489712
142,LUCIR,0.9170767910767911,0.6982716049382717
201,LUCIR,0.8937333047333047,0.7378600823045268
285,LUCIR,0.8713958243958244,0.7684773662551441
95,LUCIR,0.8830552279797563,0.7638683127572017
100,VAE_BBox,0.9915835595458237,0.8581893004115226
142,VAE_BBox,0.9915835595458237,0.8581893004115226
201,VAE_BBox,0.9915835595458237,0.8581893004115226
285,VAE_BBox,0.9915835595458237,0.8581893004115226
95,VAE_BBox,0.9915835595458237,0.8581893004115226
100,VAE_Filter,0.9929073359073359,0.8550617283950618
142,VAE_Filter,0.9929073359073359,0.8550617283950618
201,VAE_Filter,0.9929073359073359,0.8550617283950618
285,VAE_Filter,0.9929073359073359,0.8550617283950618
95,VAE_Filter,0.9929073359073359,0.8550617283950618
100,VAE_GMM,0.9921812111057394,0.8832921810699588
142,VAE_GMM,0.9921812111057394,0.8832921810699588
201,VAE_GMM,0.9921812111057394,0.8832921810699588
285,VAE_GMM,0.9921812111057394,0.8832921810699588
95,VAE_GMM,0.9921812111057394,0.8832921810699588
