EWC Replay - 1378,EWC Replay - 240,EWC Replay - 255,EWC Replay - 575,Random - 1378,Random - 240,Random - 255,Random - 575,iCaRL - 1378,iCaRL - 240,iCaRL - 255,iCaRL - 575,LUCIR - 1378,LUCIR - 240,LUCIR - 255,LUCIR - 575,VAE - BBox,VAE - Filter,VAE_GMM
0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.6,0.975,0.975,0.275,0.975,0.975,0.8000000000000002,1.0,1.0,1.0
0.92,0.94,0.96,0.96,0.96,0.92,0.96,0.96,0.0,0.4199999999999999,0.74,0.76,0.96,0.06,0.96,0.0,1.0,1.0,1.0
0.9142857142857144,0.8857142857142857,0.9714285714285714,0.8857142857142857,1.0,0.9714285714285714,0.8857142857142857,0.8857142857142857,0.1428571428571428,0.8000000000000002,0.8285714285714286,0.0,0.6571428571428571,0.8571428571428571,0.4285714285714285,0.4571428571428572,1.0,1.0,1.0
0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.875,0.95,0.975,0.975,0.975,0.975,0.95,1.0,1.0,1.0
0.925,0.975,0.95,0.925,0.95,0.975,0.975,0.9,0.0,0.225,0.0,0.0,0.95,0.15,0.95,0.025,1.0,1.0,1.0
0.8809523809523809,0.8809523809523809,0.9047619047619048,0.8809523809523809,0.8809523809523809,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8809523809523809,0.5952380952380952,0.8809523809523809,0.8809523809523809,0.0,0.8809523809523809,0.8809523809523809,0.8809523809523809,1.0,1.0,1.0
0.9210526315789476,0.9736842105263158,0.9210526315789476,0.9210526315789476,0.9210526315789476,0.9210526315789476,0.9473684210526316,0.8947368421052632,0.0,0.7368421052631579,0.6842105263157895,0.7105263157894737,0.8421052631578947,0.8947368421052632,0.7368421052631579,0.7894736842105263,0.9894736842105264,0.9894736842105264,1.0
0.5961538461538461,0.9423076923076924,0.8653846153846155,0.8076923076923077,0.6730769230769231,0.9807692307692308,0.9615384615384616,0.826923076923077,0.0,0.2884615384615384,0.2884615384615384,0.0,0.25,0.4615384615384615,0.75,0.173076923076923,1.0,1.0,0.9961538461538462
0.8684210526315791,0.9210526315789476,0.8947368421052632,0.9473684210526316,0.8947368421052632,0.9473684210526316,0.9210526315789476,0.8947368421052632,0.8684210526315791,0.9210526315789476,0.8947368421052632,0.6052631578947368,0.7894736842105263,0.5263157894736842,0.8947368421052632,0.1842105263157894,0.9894736842105264,0.9894736842105264,1.0
0.7115384615384616,0.903846153846154,0.9807692307692308,0.7115384615384616,0.7307692307692307,0.9423076923076924,0.9230769230769232,0.8076923076923077,0.0,0.1923076923076923,0.2115384615384615,0.0,0.0384615384615384,0.2115384615384615,0.2884615384615384,0.3846153846153847,0.9961538461538462,1.0,1.0
0.9047619047619048,0.9285714285714286,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8095238095238095,0.8809523809523809,0.0,0.0,1.0,1.0,1.0
0.9210526315789476,0.9210526315789476,0.9473684210526316,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.0,0.9210526315789476,0.3947368421052631,0.2368421052631578,0.6052631578947368,0.8421052631578947,0.8947368421052632,0.7894736842105263,1.0,1.0,0.9947368421052633
0.8653846153846155,0.9615384615384616,1.0,0.9230769230769232,0.8076923076923077,0.9423076923076924,0.9230769230769232,0.826923076923077,0.1538461538461538,0.9615384615384616,0.8076923076923077,0.0,0.0,0.0,0.1923076923076923,0.1923076923076923,1.0,1.0,1.0
0.9130434782608696,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.782608695652174,0.391304347826087,0.0,0.0,0.0,0.782608695652174,0.9565217391304348,0.9565217391304348,0.7391304347826086,0.9913043478260868,1.0,1.0
0.4857142857142857,0.9428571428571428,0.9142857142857144,0.8857142857142857,0.8000000000000002,0.9714285714285714,0.9142857142857144,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.891891891891892,0.945945945945946,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.972972972972973,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.0,0.891891891891892,0.0,0.0,0.9837837837837836,0.9891891891891892,0.9891891891891892
0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.0789473684210526,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9473684210526316,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9947368421052633,1.0,1.0
0.9189189189189192,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.891891891891892,0.9189189189189192,0.0,0.8648648648648649,0.891891891891892,0.9189189189189192,0.9189189189189192,0.9189189189189192,0.891891891891892,0.8648648648648649,0.9891891891891892,0.972972972972973,0.9891891891891892
0.8809523809523809,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8809523809523809,0.9761904761904764,0.9047619047619048,0.9047619047619048,0.0,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8571428571428571,1.0,1.0,1.0
0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9894736842105264,0.9947368421052633,1.0
