Exemplar_Size,Task 2,Method
100,0.218,EWC_Replay
100,0.1614173228346456,EWC_Replay
100,0.1790017211703959,EWC_Replay
100,0.0686274509803921,EWC_Replay
100,0.2465437788018433,EWC_Replay
100,0.1207243460764587,EWC_Replay
100,0.2524038461538461,EWC_Replay
100,0.1298245614035087,EWC_Replay
100,0.2334710743801653,EWC_Replay
100,0.3525896414342629,EWC_Replay
100,0.1748971193415638,EWC_Replay
100,0.1571125265392781,EWC_Replay
100,0.2495755517826825,EWC_Replay
100,0.2267441860465116,EWC_Replay
100,0.2811244979919678,EWC_Replay
100,0.322,EWC_Replay
100,0.2826475849731664,EWC_Replay
100,0.0930232558139534,EWC_Replay
100,0.0976744186046511,EWC_Replay
100,0.2384219554030874,EWC_Replay
100,0.5598194130925508,EWC_Replay
100,0.3466386554621849,EWC_Replay
100,0.250996015936255,EWC_Replay
100,0.1806981519507186,EWC_Replay
100,0.2232558139534883,EWC_Replay
100,0.11441647597254,EWC_Replay
100,0.2208588957055214,EWC_Replay
100,0.2669404517453799,EWC_Replay
100,0.255731922398589,EWC_Replay
100,0.3031496062992126,EWC_Replay
303,0.116,EWC_Replay
303,0.2795275590551181,EWC_Replay
303,0.3253012048192771,EWC_Replay
303,0.0,EWC_Replay
303,0.2142857142857142,EWC_Replay
303,0.2997987927565392,EWC_Replay
303,0.2283653846153846,EWC_Replay
303,0.2982456140350877,EWC_Replay
303,0.3553719008264462,EWC_Replay
303,0.5119521912350598,EWC_Replay
303,0.2880658436213992,EWC_Replay
303,0.3609341825902335,EWC_Replay
303,0.1833616298811545,EWC_Replay
303,0.1007751937984496,EWC_Replay
303,0.359437751004016,EWC_Replay
303,0.212,EWC_Replay
303,0.404293381037567,EWC_Replay
303,0.2236135957066189,EWC_Replay
303,0.055813953488372,EWC_Replay
303,0.2367066895368782,EWC_Replay
303,0.2776523702031602,EWC_Replay
303,0.3256302521008403,EWC_Replay
303,0.3047808764940239,EWC_Replay
303,0.1108829568788501,EWC_Replay
303,0.2558139534883721,EWC_Replay
303,0.3798627002288329,EWC_Replay
303,0.3803680981595092,EWC_Replay
303,0.3737166324435318,EWC_Replay
303,0.3597883597883598,EWC_Replay
303,0.3523622047244094,EWC_Replay
921,0.4580000000000001,EWC_Replay
921,0.4055118110236221,EWC_Replay
921,0.5060240963855421,EWC_Replay
921,0.2647058823529412,EWC_Replay
921,0.336405529953917,EWC_Replay
921,0.4044265593561367,EWC_Replay
921,0.0600961538461538,EWC_Replay
921,0.436842105263158,EWC_Replay
921,0.4276859504132231,EWC_Replay
921,0.1314741035856573,EWC_Replay
921,0.3724279835390947,EWC_Replay
921,0.3354564755838641,EWC_Replay
921,0.4736842105263157,EWC_Replay
921,0.2461240310077519,EWC_Replay
921,0.6566265060240963,EWC_Replay
921,0.3980000000000001,EWC_Replay
921,0.2254025044722719,EWC_Replay
921,0.2540250447227191,EWC_Replay
921,0.3627906976744186,EWC_Replay
921,0.3670668953687822,EWC_Replay
921,0.2821670428893905,EWC_Replay
921,0.4894957983193277,EWC_Replay
921,0.3067729083665338,EWC_Replay
921,0.5831622176591376,EWC_Replay
921,0.2465116279069767,EWC_Replay
921,0.4691075514874142,EWC_Replay
921,0.4969325153374233,EWC_Replay
921,0.3572895277207393,EWC_Replay
921,0.3686067019400352,EWC_Replay
921,0.6771653543307088,EWC_Replay
2795,0.46,EWC_Replay
2795,0.7598425196850395,EWC_Replay
2795,0.342512908777969,EWC_Replay
2795,0.2475490196078431,EWC_Replay
2795,0.4009216589861751,EWC_Replay
2795,0.1368209255533199,EWC_Replay
2795,0.0360576923076923,EWC_Replay
2795,0.3438596491228071,EWC_Replay
2795,0.4400826446280991,EWC_Replay
2795,0.2709163346613545,EWC_Replay
2795,0.3703703703703704,EWC_Replay
2795,0.4501061571125265,EWC_Replay
2795,0.4210526315789473,EWC_Replay
2795,0.5213178294573644,EWC_Replay
2795,0.1485943775100401,EWC_Replay
2795,0.36,EWC_Replay
2795,0.3041144901610018,EWC_Replay
2795,0.3738819320214669,EWC_Replay
2795,0.3418604651162791,EWC_Replay
2795,0.2624356775300172,EWC_Replay
