EWC Replay - 197,EWC Replay - 215,EWC Replay - 390,EWC Replay - 770,Random - 197,Random - 215,Random - 390,Random - 770,iCaRL - 197,iCaRL - 215,iCaRL - 390,iCaRL - 770,LUCIR - 197,LUCIR - 215,LUCIR - 390,LUCIR - 770,VAE - BBox,VAE - Filter,VAE_GMM
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9125,0.9,0.9375,0.9375,0.9625,0.9,0.925,0.925,0.15,0.0,0.0,0.0,0.3875,0.35,0.525,0.7375,0.9875,0.95,1.0
0.9473684210526316,0.936842105263158,0.9473684210526316,0.9578947368421054,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.5263157894736843,0.9473684210526316,0.7578947368421053,0.6210526315789474,0.2,0.4210526315789473,0.9157894736842106,0.9473684210526316,0.9473684210526316,0.9473684210526316
0.9750000000000002,1.0,1.0,0.9916666666666668,0.9583333333333331,1.0,1.0,1.0,0.35,0.6916666666666668,0.5916666666666667,0.9,0.675,1.0,1.0,1.0,1.0,1.0,1.0
0.9625,1.0,0.9625,0.95,0.9875,0.925,0.9875,0.975,0.1375,0.0375,0.0,0.0,0.825,0.45,0.85,0.3875,0.9125,0.9875,0.975
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.425,0.225,0.825,1.0,0.625,1.0,0.9833333333333332,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7254901960784312,0.968627450980392,0.996078431372549,1.0,1.0,1.0,1.0,1.0,1.0
0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.7578947368421053,0.9473684210526316,0.5684210526315789,0.6105263157894738,0.9473684210526316,0.936842105263158,0.936842105263158,0.9473684210526316,0.9473684210526316,0.9473684210526316
1.0,1.0,0.9916666666666668,1.0,1.0,0.9833333333333334,1.0,1.0,0.95,0.9750000000000002,0.55,0.925,0.9833333333333332,0.5833333333333334,0.9416666666666668,0.8083333333333333,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580392156862745,0.5686274509803921,0.5333333333333333,1.0,1.0,0.9882352941176472,1.0,1.0,1.0
0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.5789473684210527,0.9473684210526316,0.9473684210526316,0.7578947368421053,0.3789473684210526,0.7578947368421053,0.9052631578947368,0.9473684210526316,0.9473684210526316,0.9473684210526316
0.995744680851064,1.0,0.995744680851064,0.995744680851064,1.0,0.995744680851064,0.995744680851064,1.0,1.0,1.0,0.995744680851064,1.0,1.0,1.0,0.995744680851064,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968253968253968,1.0,1.0,1.0,1.0,1.0,1.0
0.975,1.0,1.0,1.0,0.9833333333333334,1.0,1.0,1.0,0.1916666666666666,0.4166666666666666,0.2916666666666667,0.1249999999999999,0.9333333333333332,0.9916666666666668,1.0,0.875,1.0,1.0,1.0
0.9968253968253968,0.9968253968253968,0.9492063492063494,0.9936507936507936,1.0,1.0,1.0,0.9936507936507936,0.9523809523809524,0.9269841269841268,0.7365079365079366,0.9523809523809524,1.0,0.9904761904761904,0.5111111111111112,0.9746031746031748,1.0,1.0,0.9968253968253968
0.9875,1.0,0.975,1.0,1.0,0.975,0.9875,0.95,0.4,0.375,0.6375,0.35,0.825,0.775,0.8,1.0,0.9875,0.9875,1.0
0.9375,0.95,0.9625,0.975,0.9875,0.9625,0.9625,0.9375,0.0125,0.1875,0.0,0.0,0.7875,0.7875,0.9125,0.775,0.9875,0.9875,0.9875
1.0,0.975,0.975,0.975,0.9875,0.9875,1.0,1.0,0.6875,0.4125,0.1125,0.075,0.0,0.0875,0.2,0.2,0.9875,1.0,1.0
1.0,1.0,1.0,1.0,0.9914893617021278,0.995744680851064,0.995744680851064,1.0,1.0,0.9872340425531916,0.995744680851064,0.9872340425531916,1.0,0.9148936170212768,0.9702127659574468,0.9446808510638298,1.0,1.0,1.0
0.9936507936507936,1.0,0.9777777777777776,1.0,1.0,1.0,0.977777777777778,0.9904761904761904,1.0,1.0,0.965079365079365,0.711111111111111,1.0,1.0,0.9619047619047618,0.9365079365079364,1.0,1.0,1.0
0.9125,0.925,0.9375,0.95,0.9625,0.9,0.9375,0.9625,0.025,0.0,0.0,0.0,0.7,0.65,0.6,0.925,0.9875,0.9625,1.0
0.9916666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1166666666666666,0.3916666666666667,0.4666666666666667,0.35,0.5583333333333333,0.8166666666666668,0.9916666666666668,0.9833333333333332,1.0,1.0,1.0
0.9625,0.9875,0.975,0.9875,0.9625,0.9625,0.95,0.975,0.0,0.0,0.0,0.0,0.75,0.65,0.7,0.7875,0.9625,0.9625,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.9916666666666668,1.0,1.0,1.0,0.8416666666666668,0.875,0.8166666666666667,1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0
0.9873015873015872,1.0,0.9015873015873016,0.9873015873015872,0.9714285714285716,0.9841269841269842,0.968253968253968,0.9904761904761904,0.9873015873015872,0.9968253968253968,0.926984126984127,0.8984126984126984,0.9968253968253968,1.0,0.526984126984127,0.9904761904761904,0.9968253968253968,1.0,0.9968253968253968
0.9375,0.9125,0.9375,0.8875,0.925,0.9625,0.9625,0.825,0.0875,0.2375,0.025,0.1,0.175,0.5125,0.675,0.35,0.975,0.9875,1.0
