Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6
100,Random,0.8812422519104653,0.37559617713275695,0.29454880382942983,0.24088386532406497,0.21128231919121612,0.19157894736842102
237,Random,0.8828840726098163,0.38391793695025395,0.32872105249606837,0.2623810137886546,0.22809314372271103,0.19526315789473678
562,Random,0.8795637588958417,0.38697500492559533,0.3136623741659488,0.2535678772966403,0.232419095761947,0.19535087719298244
1332,Random,0.8792740547127269,0.39682212158752034,0.3234037562292055,0.25182442361238533,0.22588949261331423,0.20377192982456138
255,Random,0.8801661502183091,0.38847794570339583,0.306695080235335,0.2556580977305804,0.21051224832379417,0.19087719298245612
100,EWC_Replay,0.8799420854616596,0.35332320318872984,0.2969463771060817,0.24427149900207062,0.19856709524588612,0.1691228070175438
237,EWC_Replay,0.8811627250940517,0.41374322098612626,0.32714150951458426,0.25195515951748276,0.22641770141046816,0.2066666666666666
562,EWC_Replay,0.8824342648387064,0.40085784704990035,0.31702589270543785,0.25814059368778564,0.22836761349833515,0.2014035087719298
1332,EWC_Replay,0.8828812844506568,0.3821572148328104,0.3245541083032436,0.27049007375364104,0.23381819553306077,0.20973684210526314
255,EWC_Replay,0.8822169060814287,0.3659448522049387,0.3032271311197391,0.23428207608150922,0.21187650149838438,0.20184210526315785
100,iCaRL,0.8863389460850769,0.3960558303590117,0.32166779141893753,0.2607931709005103,0.23063521603906018,0.18736842105263155
237,iCaRL,0.8853342309976794,0.34350497151493226,0.29919813947842644,0.23569609898098695,0.2013525545840828,0.17859649122807011
562,iCaRL,0.8849510681771886,0.2979787564454271,0.23158214175542233,0.19551339364759449,0.15790187228356736,0.14429824561403504
1332,iCaRL,0.8862405297646141,0.30302682934386393,0.24902752007920395,0.1862653573208681,0.1558457011512813,0.12701754385964908
255,iCaRL,0.8835338282514733,0.3578525894562544,0.31890287036783715,0.2513157313847473,0.22698512359930859,0.19245614035087716
100,LUCIR,0.8908972800133462,0.41788762951660663,0.3064452390019019,0.2666379237841442,0.22887415638342504,0.21359649122807015
237,LUCIR,0.8859234344706481,0.4093611565938102,0.3249091076793216,0.2510972769208065,0.23913838460894274,0.19684210526315785
562,LUCIR,0.8865762785862162,0.39410260273133246,0.2840459048135349,0.23685798744712325,0.21250670283475528,0.1945614035087719
1332,LUCIR,0.8882659734556889,0.3682909702529976,0.31006223988152654,0.27638353431479784,0.21547537972729794,0.18780701754385962
255,LUCIR,0.8877596474931864,0.4141555587823909,0.319872730722285,0.2447005210332288,0.21596148690626604,0.20815789473684207
100,VAE_BBox,0.8793174927562709,0.666689744600376,0.47308127521340637,0.3556396942482889,0.2894784950088096,0.25421052631578944
237,VAE_BBox,0.8793174927562709,0.666689744600376,0.47308127521340637,0.3556396942482889,0.2894784950088096,0.25421052631578944
562,VAE_BBox,0.8793174927562709,0.666689744600376,0.47308127521340637,0.3556396942482889,0.2894784950088096,0.25421052631578944
1332,VAE_BBox,0.8793174927562709,0.666689744600376,0.47308127521340637,0.3556396942482889,0.2894784950088096,0.25421052631578944
255,VAE_BBox,0.8793174927562709,0.666689744600376,0.47308127521340637,0.3556396942482889,0.2894784950088096,0.25421052631578944
100,VAE_Filter,0.8814989580192129,0.6628992497413951,0.4883845344363234,0.3598416349834144,0.2978825757571742,0.26301754385964904
237,VAE_Filter,0.8814989580192129,0.6628992497413951,0.4883845344363234,0.3598416349834144,0.2978825757571742,0.26301754385964904
562,VAE_Filter,0.8814989580192129,0.6628992497413951,0.4883845344363234,0.3598416349834144,0.2978825757571742,0.26301754385964904
1332,VAE_Filter,0.8814989580192129,0.6628992497413951,0.4883845344363234,0.3598416349834144,0.2978825757571742,0.26301754385964904
255,VAE_Filter,0.8814989580192129,0.6628992497413951,0.4883845344363234,0.3598416349834144,0.2978825757571742,0.26301754385964904
100,VAE_GMM,0.880961107643089,0.8012108560884866,0.6414902053371712,0.5266669532916298,0.4491552652240432,0.3759824561403508
237,VAE_GMM,0.880961107643089,0.8012108560884866,0.6414902053371712,0.5266669532916298,0.4491552652240432,0.3759824561403508
562,VAE_GMM,0.880961107643089,0.8012108560884866,0.6414902053371712,0.5266669532916298,0.4491552652240432,0.3759824561403508
1332,VAE_GMM,0.880961107643089,0.8012108560884866,0.6414902053371712,0.5266669532916298,0.4491552652240432,0.3759824561403508
255,VAE_GMM,0.880961107643089,0.8012108560884866,0.6414902053371712,0.5266669532916298,0.4491552652240432,0.3759824561403508
