Exemplar_Size,Method,Task 2,Task 3,Task 4,Task 5
100,Random,0.5812839722545854,0.33020911629616695,0.2485071764879468,0.18082289571739052
197,Random,0.5660800698727216,0.32099355698301835,0.24554088964663576,0.1735840188489323
390,Random,0.5790787925177582,0.300270821670989,0.2519611123446917,0.16322212771052805
770,Random,0.6020091687828891,0.3271370077020141,0.2716925912535674,0.1752175227243359
215,Random,0.5630563420310409,0.3052124992231123,0.2533452030688557,0.17339541119784832
100,EWC_Replay,0.5566275573542911,0.3168077292780577,0.23330740816830095,0.17967578403476028
197,EWC_Replay,0.5566389095924291,0.2998190715322648,0.2547841851162332,0.1772205492872337
390,EWC_Replay,0.6034473440223581,0.3153766968351254,0.26255777142703823,0.16812899192444786
770,EWC_Replay,0.6055007898657084,0.3468150862876457,0.2696228963290507,0.17974247795666912
215,EWC_Replay,0.5779968015226651,0.28996643408973444,0.24905271196137865,0.17496003385481068
100,iCaRL,0.5628255057710356,0.3515356883142022,0.2701641213454516,0.1750327331240262
197,iCaRL,0.5868115295831448,0.358452105928536,0.2836165576941937,0.18712236480028924
390,iCaRL,0.5929967786506511,0.3723331255483812,0.2614516438705999,0.19144296849392758
770,iCaRL,0.6215940711655502,0.33120964557605814,0.2675635897960145,0.19158498837128468
215,iCaRL,0.5903866457179429,0.3638400096167395,0.29011099622371056,0.1806460518743106
100,LUCIR,0.6603575379041172,0.3761067736235829,0.27266479663765364,0.20129876719913584
197,LUCIR,0.6334044984290038,0.3469718556432024,0.2753374577256038,0.19533996501251555
390,LUCIR,0.6510763557098344,0.35875981990548045,0.27508371292882605,0.18285709945230283
770,LUCIR,0.6560141147415909,0.3753557513388455,0.29109260564355083,0.20958018758924152
215,LUCIR,0.6212312224415822,0.3499925733716334,0.27247067281962845,0.2001891380666175
100,VAE_BBox,0.711072781828056,0.5607726166653717,0.36477585475736723,0.2762157769759552
197,VAE_BBox,0.711072781828056,0.5607726166653717,0.36477585475736723,0.2762157769759552
390,VAE_BBox,0.711072781828056,0.5607726166653717,0.36477585475736723,0.2762157769759552
770,VAE_BBox,0.711072781828056,0.5607726166653717,0.36477585475736723,0.2762157769759552
215,VAE_BBox,0.711072781828056,0.5607726166653717,0.36477585475736723,0.2762157769759552
100,VAE_Filter,0.7158083148689814,0.5137221003534539,0.3463535357340421,0.2684038490037644
197,VAE_Filter,0.7158083148689814,0.5137221003534539,0.3463535357340421,0.2684038490037644
390,VAE_Filter,0.7158083148689814,0.5137221003534539,0.3463535357340421,0.2684038490037644
770,VAE_Filter,0.7158083148689814,0.5137221003534539,0.3463535357340421,0.2684038490037644
215,VAE_Filter,0.7158083148689814,0.5137221003534539,0.3463535357340421,0.2684038490037644
100,VAE_GMM,0.8131155312254157,0.6908596433772961,0.5623170470009131,0.4771794353342735
197,VAE_GMM,0.8131155312254157,0.6908596433772961,0.5623170470009131,0.4771794353342735
390,VAE_GMM,0.8131155312254157,0.6908596433772961,0.5623170470009131,0.4771794353342735
770,VAE_GMM,0.8131155312254157,0.6908596433772961,0.5623170470009131,0.4771794353342735
215,VAE_GMM,0.8131155312254157,0.6908596433772961,0.5623170470009131,0.4771794353342735
