Exemplar_Size,Method,Task 1,Task 2
100,Random,0.8810659945868173,0.42900763358778626
240,Random,0.8807485465990431,0.46768447837150123
575,Random,0.8811420063131854,0.46412213740458014
1378,Random,0.880184142453852,0.45318066157760817
95,Random,0.8794012958277121,0.4367260390161153
100,EWC_Replay,0.884641216152232,0.43087362171331633
240,EWC_Replay,0.8823114718136966,0.4526717557251908
575,EWC_Replay,0.8794058979017894,0.46768447837150123
1378,EWC_Replay,0.8807925247521596,0.4712468193384224
95,EWC_Replay,0.8844279988677853,0.4263782866836302
100,iCaRL,0.8922207569151287,0.21755725190839692
240,iCaRL,0.8923839437942455,0.16497031382527563
575,iCaRL,0.886946451261669,0.14232400339270565
1378,iCaRL,0.8924425210466725,0.12044105173876164
95,iCaRL,0.8870725580975971,0.22960135708227308
100,LUCIR,0.8944622345108457,0.4016115351993214
240,LUCIR,0.8881266859175259,0.3618320610687023
575,LUCIR,0.891642641776226,0.33910093299406274
1378,LUCIR,0.8924004244187853,0.36301950805767597
95,LUCIR,0.8900390227214464,0.40364715860899064
100,VAE_BBox,0.8794580286332842,0.7222222222222222
240,VAE_BBox,0.8794580286332842,0.7222222222222222
575,VAE_BBox,0.8794580286332842,0.7222222222222222
1378,VAE_BBox,0.8794580286332842,0.7222222222222222
95,VAE_BBox,0.8794580286332842,0.7222222222222222
100,VAE_Filter,0.8801143556528094,0.7220525869380832
240,VAE_Filter,0.8801143556528094,0.7220525869380832
575,VAE_Filter,0.8801143556528094,0.7220525869380832
1378,VAE_Filter,0.8801143556528094,0.7220525869380832
95,VAE_Filter,0.8801143556528094,0.7220525869380832
100,VAE_GMM,0.8811088208122014,0.786598812553011
240,VAE_GMM,0.8811088208122014,0.786598812553011
575,VAE_GMM,0.8811088208122014,0.786598812553011
1378,VAE_GMM,0.8811088208122014,0.786598812553011
95,VAE_GMM,0.8811088208122014,0.786598812553011
